costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-7.336584095032169239e-01 3.624480738893947063e+01 1.527285897909816059e+00 1.241533976463659039e+00 3.722469019469874496e+01 5.407767198026974711e+02 3.757253556077450735e-02 1.619043507249512707e-03 4.255628961584740494e-02 -6.092364838510840874e-01
-9.946933423331119073e-01 4.639898443266788775e+01 1.447419787934023150e+00 1.307897262348933332e+00 5.510563198250976313e+01 2.493773562124758598e+02 6.281498226245424248e-04 1.861744632769160579e-02 -4.368897451274092458e-01 -5.279057173938013214e-01
-9.400426035484360510e-01 4.325966490393723518e+01 1.555387929745265962e+00 1.220384628183943443e+00 1.148879735732477911e+02 1.417143706218622583e+03 4.232724234849158992e-04 4.340234628887994911e-02 7.745109322475729474e-01 6.525510799591812683e-01
-6.645933450585124191e-01 3.008921088693288581e+01 1.636673074899289704e+00 1.162995554082809635e+00 4.615244007853354447e+01 7.414307580109966693e+02 3.606739215445212837e-02 2.909302916074382739e-02 5.465752735830257114e-01 4.192720212165133020e-01
-8.241772899936254948e-01 3.660193894796210401e+01 1.562059721783522370e+00 1.215209505387115030e+00 3.007275564541648691e+02 3.439810399228668985e+02 3.525202347488906422e-03 4.572839664080260297e-02 5.146599093891333077e-01 3.720018040074992149e-01
-9.322848526847559159e-01 4.436190760249390053e+01 1.464589780749820713e+00 1.292961923482891740e+00 9.255144867206064418e+01 2.349463321638991715e+02 1.408391198258080422e-02 1.474368080489156865e-02 -5.302094868848379328e-01 1.603256444934364200e-01
-5.981607300700977348e-01 2.982593458219555060e+01 1.391890536358887154e+00 1.359591852302600490e+00 1.197073307128550823e+01 1.322267686077951339e+03 1.418910832694306699e-02 2.036051002163460910e-03 -2.116988808501585329e-01 9.764312367589021990e-01
-8.457600150683721729e-01 3.939576236596752068e+01 1.538144082988764039e+00 1.233206296313939188e+00 4.269363143298303385e+02 5.919636345061966267e+02 4.780882110131155077e-02 5.247216504484838312e-03 1.150389531246555769e-01 4.035646786917782558e-01
-9.006409812201626730e-01 4.167565935583061076e+01 1.479585715139111635e+00 1.280398308916857575e+00 2.312180560746790832e+02 5.497988781202378732e+02 3.038367515373721628e-02 4.127551928094815720e-02 7.305671438287447694e-01 -4.431359650542431305e-01
-4.564117109697006236e-01 2.187628669921078384e+01 1.388850028766760891e+00 1.362618201203982915e+00 9.063372857873592920e+02 2.434399492278732566e+02 4.614094265520308873e-03 4.666836069139767423e-03 2.455520121853960458e-01 -1.590220429342063813e-02
-6.279098925268855602e-01 3.127656787103748215e+01 1.581089186625856957e+00 1.201493549097833125e+00 3.580014349376206155e+02 6.163387298202844704e+02 3.945902466864067981e-02 3.430637215935858353e-02 -4.757626858784144014e-02 9.476432479936234277e-01
-8.235988214406324559e-01 3.990096429432249892e+01 1.611179561422734663e+00 1.180170086507650096e+00 1.250375353361890802e+02 2.428988134948513391e+02 1.565932960418568373e-02 3.227371227271889215e-02 -2.252456774803514652e-02 7.779658329079898182e-01
-8.252091950979441037e-01 3.781994328655395066e+01 1.476012771220717612e+00 1.283167914187771652e+00 9.505069921639606889e+01 6.288628142821263509e+02 3.856533869830595929e-02 1.317153336394710078e-02 -3.607758313043484266e-01 7.277985104677505701e-01
-8.958825831293520947e-01 4.059911433845827844e+01 1.415098718861995231e+00 1.337265870040411864e+00 2.830644826648722869e+02 1.476772060284546342e+02 2.124922291740812333e-02 1.350688903323885547e-02 -7.928162545418934171e-01 3.802882611326945383e-01
-9.331032471088003266e-01 4.288229517041673233e+01 1.487787702623886377e+00 1.273357775701807748e+00 7.632358462399103018e+02 2.528507383378305349e+02 3.576433013594138358e-03 2.380214676886376448e-04 7.158483259828305467e-01 -2.133200605610843792e-01
-8.875930976653992888e-01 4.016105177283939298e+01 1.394547893583732767e+00 1.357086887046970114e+00 2.702609708839047471e+02 6.864272885195401841e+02 2.310437857526877192e-02 2.030135301522970059e-02 1.704808354684862193e-01 -1.756756155174153955e-01
-7.755177645109175844e-01 3.572646595077631559e+01 1.521619831490122587e+00 1.246326209220585568e+00 6.189108771586169269e+02 1.171367883727005392e+03 1.904911135842764572e-02 1.038425633894621627e-02 7.128361824097918520e-01 7.894545778082625587e-01
-8.940337374179230245e-01 4.266812370570264790e+01 1.506455150164351720e+00 1.258333804265278966e+00 1.193786333254045076e+03 4.003434979254685686e+02 4.532589012375572157e-02 2.084149849842165808e-02 5.260719288941717586e-01 -3.723612247842300049e-01
-8.746175028255444017e-01 4.055470291305602615e+01 1.390966427793857152e+00 1.360451628219543796e+00 3.091366426785511976e+02 2.966573039287093820e+02 2.193129852364571891e-02 9.069263074996874313e-03 8.596337937257549078e-02 -6.845840712363374658e-01
-9.427619845851149538e-01 4.378599055610576585e+01 1.557535859730339922e+00 1.218689113841513683e+00 5.226779077744442930e+02 1.254318359948092620e+02 2.377152354010292692e-02 3.210286406981841673e-02 -1.450368070022377831e-01 7.480838839662170558e-01
-9.168321448306337995e-01 4.081113972520257249e+01 1.479451975432981570e+00 1.280361030673436984e+00 1.030192106702822343e+02 3.640789334604643841e+02 2.876643440459406703e-02 5.807730478985102980e-03 1.175285379367259908e-01 -9.658173050360022716e-01
-5.151852614143466180e-01 2.469570178407146699e+01 1.396743469604048826e+00 1.354982473880843585e+00 2.807634554313315789e+02 8.524961741410230616e+02 1.613314086777717718e-02 2.748928494766243735e-02 -6.889713543853749345e-01 5.206602820224408568e-01
-7.169949875985340837e-01 3.381836337557083283e+01 1.456455813499278440e+00 1.300129721001241023e+00 1.225266122105705335e+02 3.269819083716962496e+02 2.102341126095903096e-02 3.877477307143527285e-02 7.347492538222767378e-01 -4.279293694232963463e-01
-5.487900089724477848e-01 2.995478720786665505e+01 1.581051615556555712e+00 1.201492847124461916e+00 6.955694684550022089e+01 3.341879746566107769e+02 1.735398420461673613e-02 3.665302123824201730e-02 -4.435470701847970543e-01 9.702063968645849856e-01
-9.600859185792669503e-01 4.614035454031993311e+01 1.633685735444233789e+00 1.165109057023290484e+00 3.467207804617796683e+02 7.530595650890678598e+02 3.502676042767789016e-02 4.098123482080167496e-02 4.846705606680797307e-01 5.928254801949300878e-01
-8.242907112032209493e-01 3.760070826948199141e+01 1.387302933592974519e+00 1.363922151190977150e+00 2.808767599912856099e+02 2.515104150806318728e+01 1.364620810015819072e-02 1.521800483574999030e-02 -8.779195725304652642e-01 -5.895307068371964665e-02
-8.650317386006127762e-01 4.057903586341120672e+01 1.389026377659737799e+00 1.361979659095617246e+00 3.453168090477325336e+02 4.736085997153697491e+01 7.199711378757913185e-03 2.571587989107756295e-02 3.591468435263132641e-01 -8.880244744624096187e-01
-8.511107309334304816e-01 4.051035741087505926e+01 1.464856703600868171e+00 1.293016343547068292e+00 6.017834619619230807e+02 4.723172804653726189e+02 1.467753568441442120e-02 5.171618743758018069e-03 6.427062154528448978e-01 2.439759756534260193e-01
-4.528753441733473495e-01 2.646400458764113850e+01 1.432856719385329436e+00 1.321220178589630478e+00 5.599910980462417456e+02 5.580210236559553323e+02 1.750366424057016659e-02 1.197173522158562729e-02 6.273263180580459508e-01 -7.364782713821169668e-01
-9.890275978937752566e-01 4.646966126587459200e+01 1.606841483701715978e+00 1.183391178734120031e+00 3.581366897477096813e+02 4.908269886876731789e+02 3.424529807392664993e-02 1.080769816855092422e-02 9.625516130392153258e-01 -5.151659803018627803e-01
-7.742445456622687461e-01 3.775073912407193433e+01 1.533619479244839434e+00 1.236767753432922223e+00 2.925379762321807675e+02 2.127064070187537936e+02 2.776049745767036198e-02 2.163678454779965205e-02 8.274133732545828623e-01 -8.120361163486951028e-01
-6.990287962835326496e-01 3.245699203960955259e+01 1.387217259366239741e+00 1.364017083128097774e+00 4.596960068621092432e+02 4.399281505513569073e+02 3.325594670782774931e-02 4.719941689767578191e-02 -5.389109452138703960e-01 2.343919408245643266e-01
-7.744834870266738003e-01 3.650936327036447437e+01 1.469041676159978715e+00 1.289225097200507264e+00 7.020072922527252786e+02 7.267405871965914343e+01 1.061276292941004847e-02 3.041256398515373473e-04 1.641847780210227148e-01 9.757624227547859741e-01
-8.630212566169337407e-01 4.136037956212673095e+01 1.595642772194179493e+00 1.191240993291073913e+00 1.932498081711771363e+02 1.088962759067534762e+03 4.250728885348488417e-02 2.277314528710867522e-03 6.961994523626404696e-01 1.906535902667502377e-02
-9.571516609722214852e-01 4.440274003775808609e+01 1.616994654827392131e+00 1.176287451516881521e+00 2.922085926578245676e+02 5.387976904648488699e+02 4.421213095692937828e-02 2.396063421608846458e-02 8.640093585659676112e-01 -7.734232508955606322e-01
-9.563652356359456652e-01 4.234210866477805268e+01 1.547825457973733609e+00 1.225869864466389458e+00 2.856143693712234040e+02 1.779106441430245127e+02 5.646962912517792393e-03 5.765774055908255008e-03 8.691823082253409272e-01 7.128880412477840434e-01
-4.229217844348279187e-01 2.089240598514105685e+01 1.410856768288589080e+00 1.341655719479071474e+00 4.663911171661507069e+02 1.401788358980482599e+03 2.230322676498575421e-02 4.470916162708975933e-02 -4.069995335525324887e-01 5.221784080599194411e-01
-8.735187996535914712e-01 3.996877370719074207e+01 1.385511925082047124e+00 1.365942933723372832e+00 2.035427339313851576e+02 9.595479058474440990e+02 3.319835761522135775e-02 1.773606484201439848e-02 -2.307479129300142873e-01 7.141677964169215187e-01
-5.321276732470697768e-01 2.468988497394520110e+01 1.452291271573025400e+00 1.303859920607940426e+00 8.554038112260044500e+02 3.652256454369795620e+02 3.619891404921658784e-02 2.271301287348862288e-02 2.380257050833096688e-01 -1.311337758455853875e-01
-9.203420924113387969e-01 4.425512478616966661e+01 1.448330993278490686e+00 1.307368250253676534e+00 3.486373322639910270e+02 8.697156925844267334e+02 1.912805815868321921e-02 2.262928858398448664e-02 2.806366811579146803e-01 5.573451893367292742e-02
-9.007375201509790763e-01 4.296038993487463387e+01 1.417751506327950883e+00 1.334797620966063469e+00 7.348921630445082087e+01 8.121290114394944339e+02 1.578758349933591376e-02 4.953537146115691986e-02 5.124733385918771589e-01 -4.144251929951960345e-01
-8.905793712968277376e-01 4.188536597120724281e+01 1.484854753836520436e+00 1.276081237113893874e+00 3.497335509101219486e+00 1.743433837222822604e+03 1.254031234095236147e-02 3.032668038846516798e-02 2.721740149794777408e-01 5.121870668484154177e-01
-3.881221149759672695e-01 1.780556557851014787e+01 1.479765798820906531e+00 1.280030298048709936e+00 3.291898215205341103e+02 2.031379266022415209e+01 9.178092825806427255e-03 2.793917620718548017e-02 -6.215732164399790927e-01 3.931042823874236758e-02
-9.701306049019612354e-01 4.552076516928461558e+01 1.455801799287955944e+00 1.300533901361673461e+00 6.511119550942174783e+01 3.863429919279914202e+02 3.337655767386874667e-02 4.521813477809087656e-02 -3.398235542571397816e-01 7.659311048030456592e-02
-6.579695075407964167e-01 3.014271996610627724e+01 1.509218938060876702e+00 1.255874773563812941e+00 4.115279785500517278e+02 2.786739896009412405e+02 1.741334620224008201e-02 1.634324466035937812e-02 -4.101299210990563826e-01 6.302474037531922146e-01
-7.718457319720517518e-01 3.468006605940111342e+01 1.428174186677368285e+00 1.325216361770514384e+00 2.152621848347736773e+02 2.171067638766053562e+02 1.432496971887970046e-02 2.482177436513648486e-02 7.396247388421651747e-01 -8.201265388314005200e-01
-9.424888997681052372e-01 4.380156205504056999e+01 1.439865500848773516e+00 1.314752135603039607e+00 1.141809748100984280e+03 9.492414246130273625e+01 2.168909525850460859e-02 1.773332809145028791e-02 6.535169355127257163e-01 -7.676525103169128394e-01
-7.158349287752091561e-01 3.338169584961408987e+01 1.403542372743859623e+00 1.348460533946884699e+00 8.999786110171850169e+02 3.172627073595432989e+02 3.062378040944680260e-02 3.621054068106182005e-03 2.391932678115436528e-01 -7.240392255833398849e-01
-9.254778992084028433e-01 4.270803279571838829e+01 1.554871006724572347e+00 1.220604335356674452e+00 2.474173260550018938e+02 1.332850293164261302e+03 1.895482053770345537e-02 3.152984053612564036e-02 -2.407720914773121001e-01 7.469482923517682948e-01
-7.576299157511903193e-01 3.779681071429426709e+01 1.505848009346050675e+00 1.258857035878266917e+00 2.067351627769084246e+02 1.089038709562545137e+03 2.653827269797853078e-02 3.258029017136463562e-02 9.203740985870689784e-01 -3.308743433103658038e-01
-7.485261942158720760e-01 3.375522689157025980e+01 1.414676239577009609e+00 1.337963374634357550e+00 1.564221589070207585e+01 1.764519147062890397e+03 2.480585706376263119e-02 4.066011235725469977e-03 4.224306433525948368e-01 -8.013941381307984058e-01
-9.112303073471172965e-01 4.494177079845488265e+01 1.481787268945804925e+00 1.278238482981040036e+00 4.281850475537329430e+02 8.582793654316979826e+00 1.161448232486670361e-02 9.937015308746110706e-03 5.736375929800040067e-03 -5.489655975165599333e-01
-9.748549123715823939e-01 4.637077378544478989e+01 1.383730979287339791e+00 1.367558371285109597e+00 5.052659632514489658e+02 6.467823478538791448e+01 2.815377337722298895e-02 3.134351767213085921e-02 4.670337594862754016e-01 -5.277934071693447526e-01
-4.536796787506255368e-01 2.312427698215172711e+01 1.668957635474684675e+00 1.142100122271222817e+00 7.097566402423166210e+01 6.787209350602663562e+02 3.706562108520550930e-02 1.560360371012607661e-02 6.464116204848300296e-01 9.505927581630068124e-01
