# m1_source_frame_Msun m2_source_frame_Msun Lambda1 Lambda2 Radius1_km Radius2_km
1.543236398339943527e+00 1.205748641800479026e+00 9.706819967656842607e+01 2.485411966731985842e+02 1.073081062807523978e+01 9.358210994429970953e+00
1.482590476398079282e+00 1.253115032748776558e+00 1.967766655837201029e+01 2.804809729661116080e+02 8.186003036737373506e+00 9.833988872408257365e+00
1.541612852799041145e+00 1.206940349416447233e+00 3.152473866362960919e+01 2.355115398092254395e+02 9.149590843198637913e+00 9.373913698931783500e+00
1.562877829569779831e+00 1.191476320375347342e+00 4.957233800466922702e+01 4.096817546234353813e+02 9.951127817408197629e+00 1.010284592949795979e+01
1.656298008321020587e+00 1.128266241336375986e+00 2.744128782868886773e+01 2.469301283365496147e+02 9.602853007449406064e+00 9.395533941257196986e+00
1.587289560838339719e+00 1.174318813643606241e+00 8.482430371762019661e+01 4.556847097177525825e+02 1.067271781462937597e+01 1.020456093871714387e+01
1.515998628759606559e+00 1.226522728135497564e+00 8.859151964749017338e+01 3.879070862652066012e+02 1.034451380982718760e+01 1.027609485055666561e+01
1.494183249953505044e+00 1.243641356251863783e+00 1.300168990226959238e+02 2.985334799699041355e+02 1.133682952920304032e+01 9.806640686942957430e+00
1.601521845189758153e+00 1.164411674969138000e+00 1.077870884090848307e+02 7.341347592003124873e+02 1.173185029807189572e+01 1.072774166951213459e+01
1.370548876707519126e+00 1.353681974785728492e+00 1.965044290903106230e+02 2.179254498028757041e+02 1.056499261958188995e+01 1.046645985042263582e+01
1.629570058181312397e+00 1.145843691853344115e+00 1.463341721479619082e+02 1.545875972362368884e+03 1.230208373891600360e+01 1.231675038910126929e+01
1.624553818166315500e+00 1.148994224465194725e+00 6.121701264497438189e+01 7.462744445520872887e+02 1.040866078425717589e+01 1.115482141417229833e+01
1.420813618513601773e+00 1.306448288950676551e+00 5.970319828353851790e+02 9.842245806585049195e+02 1.313292776432222553e+01 1.254985448279431637e+01
1.484506650705088582e+00 1.251529880099406355e+00 1.194164384514621986e+02 3.183406739750515158e+02 1.043542922231399039e+01 1.023542773205927858e+01
1.594206843273651808e+00 1.169358290446043114e+00 6.134081708960633250e+01 2.293066991000441703e+02 1.019939693441732409e+01 9.366255232659581154e+00
1.457747865871923842e+00 1.273887326378705165e+00 3.259466330250626243e+02 7.476824507125128321e+02 1.211804734875783218e+01 1.221756855198790781e+01
