costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-9.862738764589321638e-01 4.613114994010702929e+01 1.839443480744911152e+00 1.045473482695889578e+00 7.561358849639645996e+01 7.371408957858136546e+02 1.932800386084485011e-01 1.519831768393335447e-01 3.747105834131227997e-01 4.857931722389648155e-02
-9.073771678078810243e-01 4.220533622315169708e+01 1.715940235741746589e+00 1.113328721658328524e+00 1.503694998025873701e+02 2.591476102549987672e+02 3.283965937241877797e-01 5.008091506513793201e-01 3.668603563005609081e-01 -2.480818114206461422e-01
-9.564154598567196075e-01 4.444942015492884479e+01 1.424962751628538582e+00 1.328225228104246369e+00 7.225983352854103714e+01 5.021662124678955479e+02 4.328480399561044911e-01 5.174234153231483946e-01 3.106889952344606964e-01 -2.924428317869400828e-01
-9.460950492737590922e-01 4.172943989022777345e+01 1.454594619554495649e+00 1.301884529669666835e+00 1.693896414435961617e+02 1.006065236836340773e+03 2.450573809491318478e-01 2.459475169485592638e-01 -5.096201874010072297e-01 6.578993109225260705e-01
-9.620073127850869987e-01 4.560879766476504926e+01 1.422996526716265642e+00 1.330279975261339898e+00 7.609380061242360398e+02 4.551024710152696002e+02 1.995536865092976675e-01 1.781649836705077039e-01 -2.331018357842134237e-01 3.207084744952212185e-01
-9.063745599141858067e-01 4.244447036015803576e+01 1.674862670909597728e+00 1.138476094359019974e+00 2.700509462158705674e+02 1.052621792975270637e+03 1.069830684351254918e-01 1.927145785087949204e-01 -5.762441038404871874e-01 9.238797702722748584e-01
-9.403780862203815483e-01 4.284525725352438030e+01 1.587770155759912649e+00 1.196628858053490951e+00 6.497809036441076103e+01 5.979726733369266185e+02 8.415861224315807076e-02 3.507407525571298867e-01 -9.820491367166118701e-01 4.222031449967342254e-01
-9.799193334700114777e-01 4.562174126439921196e+01 1.611691746233078648e+00 1.180116892015102392e+00 3.217372725538473901e+02 9.866406106303143133e+02 2.478434874229040741e-01 5.592255427613775920e-01 -3.896727086639297233e-01 3.608726208251746281e-01
-9.879185728626678209e-01 4.761675947230041572e+01 1.760145679418508635e+00 1.087763005114097181e+00 1.402356803931944000e+02 2.009344474471869489e+03 4.035166304494207101e-01 7.398992075612232933e-01 -1.270900548147754494e-01 2.704280905108457089e-01
-6.158554432643631449e-01 2.872040103360266272e+01 1.454680805061694171e+00 1.301575460429678754e+00 2.639442513323790536e+02 5.560817909623780224e+02 1.034985344662321671e-04 6.471389276868196039e-03 7.007583290051370151e-01 -8.489036600733397275e-01
