# rho_c radius mass mb
3.645254342660560625e+14 2.445327734257571706e+01 1.198400715840973602e-01 1.204603815624512575e-01
3.893133214587114375e+14 2.087516735488495812e+01 1.286324945589617241e-01 1.295260358444583482e-01
4.157867957015898750e+14 1.808952850153183789e+01 1.400887801670750998e-01 1.413439044155086199e-01
4.440604776431474375e+14 1.599206641884918767e+01 1.543407480646205032e-01 1.560697288248510117e-01
4.742567821855105625e+14 1.441230185794443308e+01 1.717406717929285676e-01 1.740929123662572076e-01
5.065064484970961875e+14 1.321526061487890935e+01 1.927412659284544194e-01 1.959199358000923707e-01
5.409491060663204375e+14 1.231789010740579826e+01 2.175250558044342641e-01 2.217885249743893894e-01
5.777338792472033750e+14 1.163454903360061188e+01 2.467570605755881052e-01 2.524539844382926446e-01
6.170200329143368750e+14 1.112048442886367283e+01 2.807185533176709824e-01 2.882939089691168300e-01
6.589776620226696250e+14 1.073315707599680024e+01 3.199419464762869869e-01 3.299761148512578290e-01
7.037884280576550000e+14 1.044638460523345280e+01 3.643985689576546005e-01 3.775927520866484977e-01
7.516463455643288750e+14 1.023459285111052353e+01 4.145746024773060423e-01 4.318187306250833024e-01
8.027586221607036250e+14 1.008149218886387111e+01 4.700537929401557569e-01 4.923822254796515474e-01
8.573465556724360000e+14 9.971229793324948076e+00 5.307714549584673369e-01 5.594037468555064230e-01
9.156464922730437500e+14 9.892625194613380302e+00 5.961287573005904505e-01 6.324286262890075339e-01
9.779108497780646250e+14 9.835711148889403788e+00 6.658716830579778367e-01 7.113894822847772748e-01
1.044409210523669625e+15 9.793241084460115431e+00 7.389211795905120672e-01 7.952804068602893350e-01
1.115429488561485375e+15 9.758508982942668553e+00 8.146830212622609979e-01 8.836195989556928643e-01
1.191279176223178750e+15 9.727135427183490890e+00 8.919821968596169937e-01 9.752181419240311122e-01
1.272286675451962000e+15 9.695288617986864921e+00 9.695824598047811937e-01 1.068741049863880743e+00
1.358802719665227500e+15 9.659970296943141577e+00 1.046716919124213607e+00 1.163354911299099959e+00
1.451201892304444500e+15 9.619700271954259918e+00 1.121667135280356220e+00 1.256977619108023525e+00
1.549884248647117750e+15 9.572836175272284365e+00 1.194046776595686365e+00 1.349083498906460177e+00
1.655277047902649500e+15 9.518582798786114907e+00 1.262783742692683564e+00 1.438222816106366153e+00
1.767836603091479500e+15 9.457519206439595649e+00 1.326379606042184855e+00 1.522271237573035840e+00
1.888050256716799250e+15 9.388131508107838030e+00 1.385861701817231451e+00 1.602371314563401539e+00
2.016438490782796500e+15 9.312364941811273056e+00 1.439402723242060977e+00 1.675840911636105490e+00
2.153557180295065750e+15 9.230951916774008836e+00 1.487025530064024048e+00 1.742396078180259877e+00
2.299999999999999500e+15 9.144059980737736737e+00 1.528911278440921118e+00 1.801976075505591357e+00
2.456400994783524500e+15 9.053016706876723774e+00 1.564984978429014184e+00 1.854166036479035773e+00
2.623437324858037500e+15 8.958640016896241676e+00 1.595467357229415128e+00 1.898984501616090004e+00
2.801832197623266500e+15 8.862596936776979462e+00 1.620508860749654056e+00 1.936366333236797077e+00
2.992357998894912000e+15 8.764783563258212951e+00 1.640700676305819172e+00 1.966927783029384980e+00
3.195839637058217500e+15 8.666081168101653631e+00 1.656388788879274987e+00 1.990977862780361374e+00
3.413158114625400000e+15 8.568424836964501523e+00 1.667839609849099958e+00 2.008728530272734680e+00
3.645254342660560000e+15 8.471289858323743260e+00 1.675644833996414729e+00 2.020937079957659144e+00
3.893133214587114500e+15 8.382956830790208258e+00 1.679947663595179108e+00 2.027699876829594849e+00
4.157867957015898500e+15 8.312633778569587406e+00 1.681291135939770864e+00 2.029787179960068411e+00
4.440604776431476000e+15 8.228675640627434618e+00 1.680369125010154674e+00 2.028212325682824613e+00
4.742567821855106000e+15 8.129949825583661749e+00 1.676604612897864444e+00 2.021963565729897105e+00
5.065064484970963000e+15 8.029481161448147830e+00 1.670565604591089715e+00 2.011909709383061795e+00
5.409491060663205000e+15 7.928142191157457219e+00 1.662601125524217460e+00 1.998595487984466956e+00
5.777338792472035000e+15 7.826495382253660260e+00 1.652983606975619635e+00 1.982463412310591533e+00
6.170200329143369000e+15 7.725061436944383075e+00 1.641942856799273098e+00 1.963900469679280558e+00
6.589776620226697000e+15 7.624378763983799878e+00 1.629681245588955107e+00 1.943256714298112309e+00
7.037884280576550000e+15 7.524783509458851327e+00 1.616384276469022163e+00 1.920855072271573150e+00
7.516463455643291000e+15 7.426625247864226509e+00 1.602212127099645222e+00 1.896989099329712936e+00
8.027586221607036000e+15 7.330334430289240366e+00 1.587321393057772534e+00 1.871931244448860721e+00
8.573465556724360000e+15 7.235932593531775758e+00 1.571845189810076482e+00 1.845935449972760489e+00
9.156464922730438000e+15 7.143996842983682427e+00 1.555926718664060182e+00 1.819247481134314448e+00
