# rho_c radius mass mb
2.353573882245734062e+14 3.388515372308022933e+01 1.167307453643779414e-01 1.162131820854605951e-01
2.512437014095033750e+14 2.767878991873757144e+01 1.260394716379474589e-01 1.255763074180638039e-01
2.682023197747103750e+14 2.341331717450382044e+01 1.373267937681477979e-01 1.369502842619955973e-01
2.863056225051105625e+14 2.037158456034156728e+01 1.508662831325462139e-01 1.506231118494312793e-01
3.056308742851081250e+14 1.814189796673453259e+01 1.669897539200425329e-01 1.669466237913656559e-01
3.262605550633648125e+14 1.647585422151251677e+01 1.860549008167276253e-01 1.863055341669489218e-01
3.482827120762566875e+14 1.521629894149648443e+01 2.084370277606585886e-01 2.091109296918908511e-01
3.717913356324493750e+14 1.425535860828897405e+01 2.345545490620866702e-01 2.358285978215175216e-01
3.968867602624369375e+14 1.354462571228398282e+01 2.635612489731322672e-01 2.656352527615394865e-01
4.236760929451446250e+14 1.331610645781890057e+01 2.756442177415328598e-01 2.780901736321339524e-01
4.522736702392629375e+14 1.315434781646207796e+01 2.849309300865595640e-01 2.876740180728588059e-01
4.828015462703435000e+14 1.304131166531474939e+01 2.915766265418888170e-01 2.945384850521305387e-01
5.153900136563795625e+14 1.293226709589919388e+01 2.979303647415883494e-01 3.011064780679989505e-01
5.501781595951765625e+14 1.279413878272332994e+01 3.056082462820401413e-01 3.090505079375739372e-01
5.873144594868863750e+14 1.257500421368903609e+01 3.170519672251950194e-01 3.209075711290437227e-01
6.269574106252793750e+14 1.224045274618507229e+01 3.354085081744799246e-01 3.399778579157984870e-01
6.692762086623405000e+14 1.182350056036820440e+01 3.634017422866865910e-01 3.691912870253901691e-01
7.144514697333347500e+14 1.135615538562780102e+01 4.076808669451083000e-01 4.157302420231657747e-01
7.626760013243606250e+14 1.093256225840042006e+01 4.730960122333365825e-01 4.852164885335985001e-01
8.141556251724460000e+14 1.062898358275562849e+01 5.582326185233832394e-01 5.769543225636423189e-01
8.691100557103163750e+14 1.044897086316905721e+01 6.556905039267356683e-01 6.837923942160970547e-01
9.277738378050246250e+14 1.035359883073120812e+01 7.568176561889720100e-01 7.967571959658510394e-01
9.903973477927010000e+14 1.030409111894304885e+01 8.550561353056467251e-01 9.086190748352762636e-01
1.057247862081829875e+15 1.027461715805833187e+01 9.463967055555296826e-01 1.014590011151584426e+00
1.128610697885834250e+15 1.025086708342136355e+01 1.028953250693809052e+00 1.112083882481635921e+00
1.204790430953609500e+15 1.022576774463658644e+01 1.102126743846701951e+00 1.199936724326590154e+00
1.286112195495256500e+15 1.019616213825769968e+01 1.165968411377253267e+00 1.277760070284132077e+00
1.372923071851090250e+15 1.016103139321002224e+01 1.220991135347775813e+00 1.345770264190996990e+00
1.465593567826475750e+15 1.012044967664288819e+01 1.267957928208300222e+00 1.404555644768429756e+00
1.564519200014806250e+15 1.007497527447705110e+01 1.307606275699679355e+00 1.454745623548154621e+00
1.670122181857703500e+15 1.002515539901407138e+01 1.340875571797379484e+00 1.497290756677566170e+00
1.782853225647047250e+15 9.963592406061353657e+00 1.372569512008342318e+00 1.538217339234245085e+00
1.903193466159770750e+15 9.896515088528419213e+00 1.399742843051823504e+00 1.573643949738627867e+00
2.031656514135461250e+15 9.825658495032621786e+00 1.422557722783814205e+00 1.603654087008368201e+00
2.168790648360991750e+15 9.751849896039454180e+00 1.441447331095103035e+00 1.628704587457043163e+00
2.315181155717975500e+15 9.675620774591310536e+00 1.456787563475275604e+00 1.649201797216214294e+00
2.471452829180333000e+15 9.597477807418199447e+00 1.468919030794264780e+00 1.665523338277969945e+00
2.638272634423399000e+15 9.517902868045030829e+00 1.478174833558988821e+00 1.678052326135610395e+00
2.816352556425628000e+15 9.437255976551190528e+00 1.484819016590924079e+00 1.687096334238433526e+00
3.006452638212159000e+15 9.355853192226373238e+00 1.489116244306509129e+00 1.692972737758439150e+00
3.209384224709559000e+15 9.274000101893070891e+00 1.491299590666903541e+00 1.695966980783662370e+00
3.426013425556487500e+15 9.191954618882672179e+00 1.491580913962814003e+00 1.696343677154690477e+00
3.657264811649505500e+15 9.109914385941106474e+00 1.490141092787136357e+00 1.694333658361994788e+00
3.904125361200853000e+15 9.028194477407334162e+00 1.487168487122821015e+00 1.690180233504442020e+00
4.167648672149920000e+15 8.946895622240340629e+00 1.482822171274173817e+00 1.684093454688628366e+00
4.448959458906935000e+15 8.866195608776855863e+00 1.477242616552363774e+00 1.676261816384093661e+00
4.749258352620919000e+15 8.786244724144708584e+00 1.470557254640365796e+00 1.666858987042646012e+00
5.069827025459391000e+15 8.707198525327429550e+00 1.462895439103067075e+00 1.656062469366362366e+00
5.412033660770194000e+15 8.629188289859781591e+00 1.454371919389955581e+00 1.644031373742244284e+00
5.777338792472032000e+15 8.552308685666526245e+00 1.445080468463367129e+00 1.630899413364212958e+00
