# rho_c radius mass mb
1.451201892304444375e+14 2.805538471713983739e+01 8.665430428208997782e-02 8.644686620110339503e-02
1.579292343509890000e+14 2.040582030720392481e+01 1.093796521309564895e-01 1.093188733832251569e-01
1.718688708645726875e+14 1.712013589981626893e+01 1.373640252350847302e-01 1.375896596919854442e-01
1.870388905110156562e+14 1.541689637432034488e+01 1.713550207877468923e-01 1.720793288545527933e-01
2.035478931560424375e+14 1.446043634042406723e+01 2.121544296947429908e-01 2.136889243315441556e-01
2.215140642412201875e+14 1.391571195086702062e+01 2.600911505622776065e-01 2.628654482489663491e-01
2.410660208555777188e+14 1.361676092905948110e+01 3.143209359515701795e-01 3.188699624976770175e-01
2.623437324858037500e+14 1.346029123837674213e+01 3.759998670222577943e-01 3.830506902417891713e-01
2.854995230365355625e+14 1.339347180412837268e+01 4.459002656038477674e-01 4.564136466860899688e-01
3.106991612940479375e+14 1.338450591282030899e+01 5.246407999721011128e-01 5.398625259900534656e-01
3.381230476398074375e+14 1.341243866669353046e+01 6.126653048713294192e-01 6.341802596657207802e-01
3.679675055093933125e+14 1.346225203967727424e+01 7.101693204817223215e-01 7.399516607482445885e-01
4.004461868421438750e+14 1.352256252401126879e+01 8.170085959220896310e-01 8.574582275745343818e-01
4.357916015829273750e+14 1.358424091190942384e+01 9.326098691060762391e-01 9.865627484546650727e-01
4.742567821855106250e+14 1.363981190855054138e+01 1.055886287276444069e+00 1.126582257900224038e+00
5.161170950334495000e+14 1.368303445123975060e+01 1.185172497470287967e+00 1.276162748357320798e+00
5.616722117461896875e+14 1.370580244901909772e+01 1.300134147123596540e+00 1.411657809289018850e+00
6.112482544826588750e+14 1.370402651247923664e+01 1.392733990728879601e+00 1.522573135422099488e+00
6.652001306002512500e+14 1.367727293665462973e+01 1.480547756762506717e+00 1.629281426590270643e+00
7.239140733826745000e+14 1.362433721952630172e+01 1.564750420511550999e+00 1.733072594076332518e+00
7.878104070253445000e+14 1.354878115123575633e+01 1.642333294783486997e+00 1.830063054017880608e+00
8.573465556724360000e+14 1.345792152825594279e+01 1.708859104779756555e+00 1.914343109414647470e+00
9.330203180468298750e+14 1.334870999941813352e+01 1.768325272294957617e+00 1.990618318183017488e+00
1.015373431115535125e+15 1.322129052557704654e+01 1.821461966255682796e+00 2.059591047388376506e+00
1.104995448302325375e+15 1.307700405623851836e+01 1.868480597445950853e+00 2.121328127672876818e+00
1.202527960011120250e+15 1.291775918197204476e+01 1.909470569952881780e+00 2.175748110528892276e+00
1.308669186674208750e+15 1.274582885949369349e+01 1.944497612840170087e+00 2.222744180468514408e+00
1.424178977206232500e+15 1.256606807505325030e+01 1.973310164895527352e+00 2.261782067605727420e+00
1.549884248647117750e+15 1.238987519850427432e+01 1.994976287914601798e+00 2.291379773844576473e+00
1.686684905935521250e+15 1.221244513590176162e+01 2.010758595328861809e+00 2.313060600491375851e+00
1.835560284191554750e+15 1.203309045087861762e+01 2.021202151444884798e+00 2.327417661582281916e+00
1.997576159628111250e+15 1.186307581184655113e+01 2.026489856363601572e+00 2.334588383493212849e+00
2.173892379280840500e+15 1.170511380089114084e+01 2.027317987337754701e+00 2.335450495666201221e+00
2.365771164176847500e+15 1.154990900379242547e+01 2.024306749640270464e+00 2.330790545954875448e+00
2.574586145383248000e+15 1.139602169234224505e+01 2.017808834059514389e+00 2.321053469229976685e+00
2.801832197623266500e+15 1.124465513441303877e+01 2.008276112897113830e+00 2.306852274639023204e+00
3.049136140857251500e+15 1.109770536809612551e+01 1.996239839470330901e+00 2.288935265156915033e+00
3.318268386439592000e+15 1.095224088759917791e+01 1.981786694185490472e+00 2.267409391983298939e+00
3.611155611224609000e+15 1.080783855503788260e+01 1.965133145254897906e+00 2.242591421268345098e+00
3.929894550353417500e+15 1.066475952493702373e+01 1.946550149912060101e+00 2.214890306773892537e+00
4.276767007462223000e+15 1.052327379793546669e+01 1.926291616564734799e+00 2.184698945615004106e+00
4.654256189767862000e+15 1.038370774742161906e+01 1.904602912743434295e+00 2.152400157170882622e+00
5.065064484970963000e+15 1.024631852360563578e+01 1.881706918751791413e+00 2.118345962884479849e+00
5.512132807238905000e+15 1.011147401606909568e+01 1.857819082359041696e+00 2.082877962983838316e+00
5.998661650763491000e+15 9.979471782348065645e+00 1.833126282913410510e+00 2.046295587401548932e+00
6.528134001612593000e+15 9.850613458105378584e+00 1.807808475999007625e+00 2.008885726631295832e+00
7.104340271898207000e+15 9.725148834113451102e+00 1.782024722577596032e+00 1.970902505445875752e+00
7.731405434760849000e+15 9.603335868960119370e+00 1.755920169326517843e+00 1.932577804917271713e+00
8.413818554425526000e+15 9.485442856557643410e+00 1.729632230438273854e+00 1.894128527374816517e+00
9.156464922730438000e+15 9.371667321204768086e+00 1.703278952298426852e+00 1.855740064242043186e+00
