# rho_c radius mass mb
1.666202708172477188e+14 2.602598115959141012e+01 1.392599158403221571e-01 1.393344921073692844e-01
1.808164923361989375e+14 2.007419138134865122e+01 1.772012648153489800e-01 1.779083795657478706e-01
1.962222467914888750e+14 1.771786571445696268e+01 2.156160057243821926e-01 2.171906655969969291e-01
2.129405876556302188e+14 1.649458805351212121e+01 2.541825272495032428e-01 2.568413079118045950e-01
2.310833486648870625e+14 1.573208017772224210e+01 2.948799785775758076e-01 2.989034627434040692e-01
2.507718919069390312e+14 1.518698397767952102e+01 3.415561000067088293e-01 3.474158908499888065e-01
2.721379196463975000e+14 1.478701959714839198e+01 3.960160977847251296e-01 4.043796131111254133e-01
2.953243553187064375e+14 1.451327282936003193e+01 4.538713801846148144e-01 4.653235822324625626e-01
3.204862995856451250e+14 1.431776563023636939e+01 5.159087980812030461e-01 5.311705357731478783e-01
3.477920678477611875e+14 1.417008492532927733e+01 5.835140971953569622e-01 6.035201172696980088e-01
3.774243161539490000e+14 1.405754393278808934e+01 6.558844813009833130e-01 6.816624294501772985e-01
4.095812630397027500e+14 1.396686610728619549e+01 7.323956119938164200e-01 7.650779573975184933e-01
4.444780154672685000e+14 1.388886065920205581e+01 8.136333609618872087e-01 8.545768185926074789e-01
4.823480077372846875e+14 1.381661503922527956e+01 9.013151696308596694e-01 9.522840110745780517e-01
5.234445629972013125e+14 1.375177116920672660e+01 9.870893697792395560e-01 1.049029564081710442e+00
5.680425877918512500e+14 1.369434685734239743e+01 1.055285987433079775e+00 1.126808419210700629e+00
6.164404109915040000e+14 1.363546331078864249e+01 1.110824081780357853e+00 1.190739640105339170e+00
6.689617793985157500e+14 1.356387342097048965e+01 1.162815677186478158e+00 1.251093595077984455e+00
7.259580233817541250e+14 1.347912797220520176e+01 1.210578441180952591e+00 1.306996941701443093e+00
7.878104070253450000e+14 1.337587119638292066e+01 1.256770319477587883e+00 1.361512939680962209e+00
8.549326785125500000e+14 1.325709592031299522e+01 1.300309726949437250e+00 1.413334726407382780e+00
9.277738378050251250e+14 1.312636169266642128e+01 1.340524746743911644e+00 1.461609354049130616e+00
1.006821140131245250e+15 1.299524473405088898e+01 1.374553582749378888e+00 1.502789612806204156e+00
1.092603355375290000e+15 1.285539583154354304e+01 1.405015308778368777e+00 1.539936508434756046e+00
1.185694305168965500e+15 1.270541413272142250e+01 1.432264553437689658e+00 1.573417482620396601e+00
1.286716701347877250e+15 1.254505539133007197e+01 1.456526695662757387e+00 1.603452029895960473e+00
1.396346311447981750e+15 1.237473135595774387e+01 1.477974233377951307e+00 1.630200204191981195e+00
1.515316479106802250e+15 1.219516726888164548e+01 1.496716823840267940e+00 1.653750015285080144e+00
1.644423029607562500e+15 1.200747910261175022e+01 1.512869921992921363e+00 1.674197740274494084e+00
1.784529593380819250e+15 1.181365661740185047e+01 1.526446023300757737e+00 1.691511245670906272e+00
1.936573383073998000e+15 1.162721679778163164e+01 1.536814069278540362e+00 1.704827068981163540e+00
2.101571462833314750e+15 1.144356845474822926e+01 1.544333907027032549e+00 1.714546905105913233e+00
2.280627551735073000e+15 1.125934475688072567e+01 1.549217321140589299e+00 1.720892605648755680e+00
2.474939406876428500e+15 1.107479136907603667e+01 1.551579338942583819e+00 1.723969468328954591e+00
2.685806835513224500e+15 1.090801738423942169e+01 1.551550082263598807e+00 1.723910346047144548e+00
2.914640389840350500e+15 1.075266797879591429e+01 1.549344622259281046e+00 1.720964872215442698e+00
3.162970802576499000e+15 1.059964380363998870e+01 1.544969360540406011e+00 1.715113968449450965e+00
3.432459226470615500e+15 1.044714651415168483e+01 1.538478341436986252e+00 1.706408334274452043e+00
3.724908346225023000e+15 1.029427410649224228e+01 1.529960902429550407e+00 1.694948201831049106e+00
4.042274437166023000e+15 1.014053339762125461e+01 1.519539349759895686e+00 1.680882647454670309e+00
4.386680451325871500e+15 9.987164071562753875e+00 1.507462522459196652e+00 1.664536485990252279e+00
4.760430218472623000e+15 9.833457584228948889e+00 1.493816896557224938e+00 1.646018626262367279e+00
5.166023857082597000e+15 9.680189731272413667e+00 1.478772717397208503e+00 1.625555254075623290e+00
5.606174498343827000e+15 9.527932541263901101e+00 1.462594140167400303e+00 1.603508221137174505e+00
6.083826435062116000e+15 9.377407261544446371e+00 1.445452383172536326e+00 1.580120914206447180e+00
6.602174816872889000e+15 9.228926419865214115e+00 1.427483053965025617e+00 1.555590993029704272e+00
7.164687023505713000e+15 9.082767527246131678e+00 1.408807810085447976e+00 1.530099319691565540e+00
7.775125859073334000e+15 8.939241496408186549e+00 1.389541034543447129e+00 1.503817161370915256e+00
8.437574722538422000e+15 8.798607020409956903e+00 1.369790011119385476e+00 1.476905302244708951e+00
9.156464922730438000e+15 8.660989911099704841e+00 1.349642145710021390e+00 1.449499053521339897e+00
