 0.00 0.0 3.2 1.674 1.139 0.04 0.00 57
 0.04 3.5 5.9 1.806 1.063 0.05 0.04 58
 0.07 5.6 8.9 1.573 1.208 0.03 0.01 57
 0.27 21.7 5.1 1.535 1.236 0.01 0.00 57
 0.29 23.2 1.6 1.674 1.139 0.04 0.03 59
 0.31 24.5 2.1 1.583 1.200 0.02 -0.02 57
 0.34 26.6 2.1 1.778 1.077 0.02 0.03 57
 0.38 29.7 1.2 1.778 1.077 0.02 0.03 57
 0.38 29.8 2.6 1.591 1.196 0.05 0.05 62
 0.40 31.4 5.6 1.587 1.198 0.04 0.03 58
 0.50 38.6 9.5 1.526 1.243 0.00 0.04 57
 0.60 45.0 10.9 1.784 1.074 0.03 -0.00 57
 0.90 63.0 6.1 1.518 1.250 0.05 0.04 63
 0.92 64.2 2.9 1.518 1.250 0.04 0.04 61
 0.99 68.0 2.3 1.648 1.155 0.03 -0.02 57
 1.05 70.6 4.1 1.438 1.318 0.05 0.04 66
 1.05 70.7 7.4 1.557 1.220 0.02 0.05 58
 1.42 84.3 6.5 1.790 1.072 0.05 0.03 56
 1.49 86.5 4.7 1.689 1.131 0.05 0.05 57
 1.91 94.4 2.4 1.650 1.154 0.04 0.01 61
 1.97 95.1 0.4 1.863 1.034 0.05 0.04 58
 2.01 95.5 0.3 1.442 1.315 0.05 0.04 61
 2.01 95.6 0.6 1.578 1.204 0.00 0.05 57
 2.09 96.3 0.7 1.869 1.030 0.04 0.01 59
 2.19 97.1 0.4 1.414 1.340 0.04 0.04 67
 2.22 97.4 0.2 1.738 1.100 0.03 -0.01 59
 2.25 97.6 0.2 1.577 1.206 0.05 0.05 60
 2.30 97.8 0.2 1.645 1.156 -0.03 0.03 58
 2.31 97.9 0.2 1.645 1.156 -0.03 0.03 58
 2.38 98.3 0.4 1.411 1.340 -0.04 0.00 58
 2.41 98.4 0.5 1.660 1.148 0.04 0.02 63
 2.72 99.3 0.3 1.661 1.147 -0.01 -0.00 61
 2.72 99.3 0.1 1.931 1.001 0.05 0.03 62
 2.79 99.5 0.1 1.789 1.072 0.05 -0.00 60
 2.80 99.5 0.0 1.931 1.001 0.05 0.03 63
 2.86 99.6 0.0 1.523 1.246 0.03 0.02 57
 2.86 99.6 0.1 1.523 1.246 0.03 0.02 57
 2.94 99.7 0.1 1.659 1.149 0.00 -0.00 61
