# radius mass k_2
2.762250198559082293e+01 1.483159316602733480e-01 -1.078376004923926965e-03
2.655425071880998189e+01 1.510887451717487784e-01 -5.203615297897793215e-04
2.557306873242806589e+01 1.539721533126492403e-01 6.269986729501984986e-05
2.466985898299236979e+01 1.569679948898153321e-01 6.743244636319339685e-04
2.383665867159338347e+01 1.600784739201253359e-01 1.318575497309031411e-03
2.306656418490705462e+01 1.633056607494873247e-01 1.999816156245640738e-03
2.235354882470879545e+01 1.666515609846444812e-01 2.723093304878292532e-03
2.169229490698149476e+01 1.701182306570451219e-01 3.491789192732254552e-03
2.107805098933584276e+01 1.737081094024180705e-01 4.308027494082955836e-03
2.050662465814353652e+01 1.774236322902991991e-01 5.176050183977555161e-03
1.997430000972268971e+01 1.812672028617861031e-01 6.098633257957389829e-03
1.947778253530496784e+01 1.852410998462053482e-01 7.063483442065101280e-03
1.901410912567954270e+01 1.893477379524133031e-01 8.070928085003700042e-03
1.858061350424998537e+01 1.935896386130747937e-01 9.127292228573193750e-03
1.817487912005008610e+01 1.979696145032128485e-01 1.023416733796508014e-02
1.779474029393550438e+01 2.024904301465720036e-01 1.139286533938006774e-02
1.743825157593794728e+01 2.071547707343062983e-01 1.260628980559484920e-02
1.710364664609442187e+01 2.119653932866715773e-01 1.387432089863810912e-02
1.678931034882987916e+01 2.169253253664770176e-01 1.519811888564759871e-02
1.649378282384962802e+01 2.220375475850023261e-01 1.657806904211888560e-02
1.621574303649768112e+01 2.273048933634813085e-01 1.801425634018941069e-02
1.595398905415874147e+01 2.327300979307151685e-01 1.950567842331729987e-02
1.570741617882298158e+01 2.383159666351601091e-01 2.105124570445325236e-02
1.547499982152305442e+01 2.440656688895762316e-01 2.264938709953443624e-02
1.525579642581254625e+01 2.499825901112551763e-01 2.429937459455832477e-02
1.504894209695315510e+01 2.560701785700223998e-01 2.599931782742840453e-02
1.485365862336374931e+01 2.623313612554139529e-01 2.774722166939684251e-02
1.466923614014716470e+01 2.687686407247235620e-01 2.953858207720225573e-02
1.449500256910014961e+01 2.753850228038773884e-01 3.137301325024059728e-02
1.433032815502864032e+01 2.821839546371384677e-01 3.324511556458475958e-02
1.417463878930850640e+01 2.891685756347577296e-01 3.515486162124712571e-02
1.402740312088208796e+01 2.963418936847466711e-01 3.709552552186747010e-02
1.388812407306378560e+01 3.037071505644319269e-01 3.906435241485287091e-02
1.375633963406298399e+01 3.112676776118533106e-01 4.106115456153420357e-02
1.363161832314193056e+01 3.190268553784050276e-01 4.307720019386003518e-02
1.351357778830070799e+01 3.269861748844742899e-01 4.510935606377825674e-02
1.340186260314833255e+01 3.351463187877777861e-01 4.715324145031103698e-02
1.329610914482932316e+01 3.435104339964892839e-01 4.920469552759462045e-02
1.319595847713221382e+01 3.520844437699685581e-01 5.125794234165440000e-02
