# radius mass k_2
1.220778808616175937e+01 6.921584238344903328e-01 1.043703635709572336e-01
1.219445967693470223e+01 7.065157145320011267e-01 1.049493855560227618e-01
1.218184858446366192e+01 7.210618461687482439e-01 1.054538236891633535e-01
1.216990388389875122e+01 7.357946199559441958e-01 1.058843578237799177e-01
1.215857591021403650e+01 7.507124712401466171e-01 1.062405684947796414e-01
1.214781607418307274e+01 7.658146521829181097e-01 1.065235738186925546e-01
1.213757665525515428e+01 7.811014523322965530e-01 1.067355350519579027e-01
1.212781191985891738e+01 7.965737516686152153e-01 1.068718299063385890e-01
1.211847920936183520e+01 8.122281860623261629e-01 1.069385745619083894e-01
1.210953961389173017e+01 8.280578723723664991e-01 1.069351351457808602e-01
1.210095457649023487e+01 8.440559704121904927e-01 1.068619107406769686e-01
1.209268634661573749e+01 8.602158321361734750e-01 1.067205016316346983e-01
1.208469790887700412e+01 8.765310952833470504e-01 1.065129012489183652e-01
1.207695303738255177e+01 8.929958054503643883e-01 1.062390969628652232e-01
1.206941629708790487e+01 9.096045551987256284e-01 1.059024305493563162e-01
1.206205289926994340e+01 9.263526209157381119e-01 1.055027197917593057e-01
1.205482886704832701e+01 9.432361437068372823e-01 1.050426961128744646e-01
1.204771064613184528e+01 9.602522946870334364e-01 1.045236406700717352e-01
1.204066521378292087e+01 9.773994344964395120e-01 1.039474974593034839e-01
1.203366137869741159e+01 9.946735334220376812e-01 1.033155824369488968e-01
1.202667087802559998e+01 1.012065188419502437e+00 1.026304132729175533e-01
1.201966632296821302e+01 1.029564682635656370e+00 1.018933814153237249e-01
1.201262102705300627e+01 1.047162642145688327e+00 1.011068242401879924e-01
1.200550894192651796e+01 1.064850156482208821e+00 1.002731354071391273e-01
1.199830458176875148e+01 1.082618903828246770e+00 9.939488817373004492e-02
1.199098316236943340e+01 1.100461320413451682e+00 9.847222276494176085e-02
1.198352011001305861e+01 1.118370739550484716e+00 9.750957784965548492e-02
1.197589122706393105e+01 1.136341585740339832e+00 9.650768112142901756e-02
1.196807252358313356e+01 1.154369467607747390e+00 9.547017258126720696e-02
1.196004147348902613e+01 1.172447445259262366e+00 9.439521195532329934e-02
1.195177843184336375e+01 1.190563941330921027e+00 9.328871721619705348e-02
1.194326452228311375e+01 1.208707485344867383e+00 9.215161708082141023e-02
1.193448143933439098e+01 1.226867183454502852e+00 9.098665659387769611e-02
1.192541138701097303e+01 1.245032869843223367e+00 8.979580428848971119e-02
1.191603687665319811e+01 1.263195238068021586e+00 8.858157325753751588e-02
1.190634060534667427e+01 1.281346017844409602e+00 8.734536605912393559e-02
1.189630519668124187e+01 1.299478122323385998e+00 8.608934667540597829e-02
1.188591313328559096e+01 1.317585593838117131e+00 8.481526244845492835e-02
1.187514914053897819e+01 1.335659120831292457e+00 8.352500503539186938e-02
1.186400091406591173e+01 1.353686100678662241e+00 8.222077124457147224e-02
1.185245646662961327e+01 1.371654594759956103e+00 8.090478202104912919e-02
1.184050445921150896e+01 1.389553498624166439e+00 7.957914976004512586e-02
1.182813372768011106e+01 1.407372799637722993e+00 7.824518422213076752e-02
1.181533314869854934e+01 1.425103660760824065e+00 7.690468101185339578e-02
1.180209132158530672e+01 1.442738571850987750e+00 7.555957514460168167e-02
1.178839655081063675e+01 1.460271221167797950e+00 7.421117057611098522e-02
1.177424017393736122e+01 1.477692106704179276e+00 7.286093881873237366e-02
1.175961645810563816e+01 1.494989117039627669e+00 7.151054021099775837e-02
1.174452009616141979e+01 1.512150907992408921e+00 7.016192559109737936e-02
1.172894571587341339e+01 1.529167097292833288e+00 6.881635720109814669e-02
1.171288768388635049e+01 1.546028362750128782e+00 6.747547137545037432e-02
1.169633964198529874e+01 1.562726632559344297e+00 6.614032552219092920e-02
1.167929430972121629e+01 1.579255075070348457e+00 6.481191880148839957e-02
1.166174637447943851e+01 1.595605133951208732e+00 6.349136662859081182e-02
1.164369447209709740e+01 1.611765275090631722e+00 6.218034947836706405e-02
1.162513752671240397e+01 1.627724824725796271e+00 6.087933502883439291e-02
1.160607429456075046e+01 1.643474402469693008e+00 5.959027627113318987e-02
1.158650281042372399e+01 1.659006039943319966e+00 5.831337979664214660e-02
1.156642043251629026e+01 1.674313199851052536e+00 5.704984992436359925e-02
1.154582388174280716e+01 1.689390462513614244e+00 5.580017099627459370e-02
1.152471437427413825e+01 1.704229603701706397e+00 5.456523336314442196e-02
1.150309593341790126e+01 1.718821509177179019e+00 5.334539615818557901e-02
1.148097183893959006e+01 1.733158302866841582e+00 5.214207625750122421e-02
1.145834472444654217e+01 1.747233256906947307e+00 5.095558148128571940e-02
1.143521581693437916e+01 1.761040967206752628e+00 4.978646282292267106e-02
1.141158524820389886e+01 1.774576984007501190e+00 4.863497469124236638e-02
1.138745724499261591e+01 1.787834743308903684e+00 4.750140156034297900e-02
1.136283918193095666e+01 1.800806718282258467e+00 4.638661834320749466e-02
1.133773743631148889e+01 1.813486588338033112e+00 4.529071691466531047e-02
1.131215711589064199e+01 1.825869351925642370e+00 4.421430502994305733e-02
1.128610160207271207e+01 1.837951339410917040e+00 4.315754743485673839e-02
1.125957410302950024e+01 1.849729256904012908e+00 4.212025636565740194e-02
1.123258365494998756e+01 1.861197665929342326e+00 4.110296794669456022e-02
1.120513998024187075e+01 1.872351601375995767e+00 4.010577960115134510e-02
1.117725115558067550e+01 1.883187248005242065e+00 3.912841323378062758e-02
1.114892340760592404e+01 1.893702024463647549e+00 3.817178877987553037e-02
1.112016138011882660e+01 1.903894190803746556e+00 3.723507063466088840e-02
1.109097493356752828e+01 1.913760482782133732e+00 3.631840138365576703e-02
1.106137580742524129e+01 1.923297531080398581e+00 3.542207522433021144e-02
1.103137411815750646e+01 1.932503133772886184e+00 3.454626761069893442e-02
1.100097753082873098e+01 1.941376250626457578e+00 3.369014766633521285e-02
1.097019230142914203e+01 1.949916588627110370e+00 3.285400316902345463e-02
1.093903037137546974e+01 1.958122579430714882e+00 3.203758995771943674e-02
1.090750489498628717e+01 1.965992837988961295e+00 3.124085254542334142e-02
1.087562675035545467e+01 1.973526995932319394e+00 3.046365306897359099e-02
1.084340432341232408e+01 1.980725683405563764e+00 2.970566695516109121e-02
1.081084623024366564e+01 1.987589427953530885e+00 2.896673312426216104e-02
1.077796715040693343e+01 1.994117995737564986e+00 2.824647140953215688e-02
