# radius (km) mass(m_sun)  k_2
2.771618941372581446e+01 1.854340303007978863e-01 3.506384332560784876e-03
2.673997505669193586e+01 1.901600463321835577e-01 4.115636389481527532e-03
2.587633243484072665e+01 1.949177818581905586e-01 4.780446674093307910e-03
2.510743440723371123e+01 1.997005189116869417e-01 5.498864988117984146e-03
2.441859826982808812e+01 2.045047796450518984e-01 6.269439545955348553e-03
2.379765722327566024e+01 2.093303660018955570e-01 7.090468455907684812e-03
2.323446890869638537e+01 2.141805268466858980e-01 7.960069424859652840e-03
2.272054182691348245e+01 2.190619256110176161e-01 8.877856725270080046e-03
2.224888825252628521e+01 2.239829175013939855e-01 9.843698179277205612e-03
2.181388183500970257e+01 2.289513020844340385e-01 1.085700976997248240e-02
2.141095462811097860e+01 2.339740906439933543e-01 1.191738243259068443e-02
2.103635892179963207e+01 2.390575148997320376e-01 1.302425375450349393e-02
2.068698507147061250e+01 2.442070637488070739e-01 1.417722458010314476e-02
2.036023155265040785e+01 2.494274182031178122e-01 1.537477893869297792e-02
2.005389864315404935e+01 2.547224973816389348e-01 1.661657373154803996e-02
1.976610939608405815e+01 2.600954347005125511e-01 1.790174649169767526e-02
1.949524754072824351e+01 2.655485394404460409e-01 1.922565303206208095e-02
1.923990792167206010e+01 2.710832535534053456e-01 2.058976855085838456e-02
1.899886918836402572e+01 2.766998701517591752e-01 2.199058852342476722e-02
1.877113676999707437e+01 2.823954777246055481e-01 2.342469308305752257e-02
1.855581796664946026e+01 2.881661875279267759e-01 2.488721095254602458e-02
1.835206187203288053e+01 2.940085235489596216e-01 2.637859807120375086e-02
1.815906117322802515e+01 2.999195567619630798e-01 2.789212174801027413e-02
1.797605440942481181e+01 3.058969068437941141e-01 2.942455404313727707e-02
1.780232432207014170e+01 3.119388387203991808e-01 3.097312918247540139e-02
1.763719705723664433e+01 3.180443225079315206e-01 3.253459342029035861e-02
1.748004075456956485e+01 3.242131054373626475e-01 3.410689243279867860e-02
1.733026409122384237e+01 3.304458140113698539e-01 3.568679984407438499e-02
1.718732869956878062e+01 3.367433163836008325e-01 3.727240543684259833e-02
1.705076547381237262e+01 3.431056875387600291e-01 3.886080722776975860e-02
1.692014858900366292e+01 3.495329061446053043e-01 4.044975761113407675e-02
1.679508606115844316e+01 3.560250628639894943e-01 4.203696286167019763e-02
1.667521647928099426e+01 3.625823363036142499e-01 4.362011874349068508e-02
1.656020418691213081e+01 3.692050734278015112e-01 4.519688274091975683e-02
1.644973631824129257e+01 3.758938422785377265e-01 4.676516123906741818e-02
1.634351913248086063e+01 3.826494891684132371e-01 4.832350545388974100e-02
1.624128473582205601e+01 3.894726343519074319e-01 4.986962385482276994e-02
1.614280663927528181e+01 3.963623141180416809e-01 5.140135742319593831e-02
1.604787462070637716e+01 4.033174006918749388e-01 5.291665427562379509e-02
1.595628801828381249e+01 4.103370648616911365e-01 5.441315303085302035e-02
1.586785429548890747e+01 4.174208359816656277e-01 5.588984832483289561e-02
1.578238930597442646e+01 4.245686527529392573e-01 5.734472086039258537e-02
1.569971612358855850e+01 4.317809558789859059e-01 5.877588954859769982e-02
1.561966624371910939e+01 4.390585589620463747e-01 6.018305700654444368e-02
1.554209480083139816e+01 4.464012001511866723e-01 6.156399910566211914e-02
1.546687131984807095e+01 4.538081033325154778e-01 6.291772213980270645e-02
1.539387036789452168e+01 4.612787381045857504e-01 6.424286076392317357e-02
1.532297199946960298e+01 4.688128883383379519e-01 6.553804490479260558e-02
1.525405845371371072e+01 4.764107375234916120e-01 6.680304464395030173e-02
1.518701716672551605e+01 4.840728872592061638e-01 6.803582914208403110e-02
1.512174346493321053e+01 4.917997007251577180e-01 6.923658888897132879e-02
1.505815038083484403e+01 4.995901974724115124e-01 7.040412567623863249e-02
1.499615451295228041e+01 5.074434551321448383e-01 7.153757872376595439e-02
1.493567430952831820e+01 5.153588751246747091e-01 7.263608013608430225e-02
1.487662942698407242e+01 5.233362639636625069e-01 7.369889728136916340e-02
1.481894089557943772e+01 5.313758481036866543e-01 7.472633999107519687e-02
1.476253553707446997e+01 5.394775842346084538e-01 7.571688611007021397e-02
1.470735217163133690e+01 5.476402630900027990e-01 7.667078453878739541e-02
1.465333107496366161e+01 5.558628528135062252e-01 7.758740109944936569e-02
1.460041308839149110e+01 5.641446803831703383e-01 7.846611271136495758e-02
1.454853876146610858e+01 5.724855426091930433e-01 7.930697494553852478e-02
1.449764981100120309e+01 5.808855930407471613e-01 8.011006962769906536e-02
1.444769690685521546e+01 5.893439565342826203e-01 8.087450163120679658e-02
1.439863527796849318e+01 5.978593278687318602e-01 8.160045569965805601e-02
1.435042022383943205e+01 6.064307527660204311e-01 8.228856842779343206e-02
1.430300601428224638e+01 6.150577336018766550e-01 8.293811310238385914e-02
1.425634744597665993e+01 6.237401270205132908e-01 8.354930710782028369e-02
1.421040597371436753e+01 6.324768426696941725e-01 8.412187205013399449e-02
1.416514694572201982e+01 6.412663336116802837e-01 8.465680279404963482e-02
1.412053501359650554e+01 6.501074159328606994e-01 8.515300843308945544e-02
1.407653384407438857e+01 6.589993685334016860e-01 8.561137879438099341e-02
1.403310771621471531e+01 6.679416616158179165e-01 8.603187091987796187e-02
1.399022748493690926e+01 6.769326332874174845e-01 8.641566443104871376e-02
1.394786465245729445e+01 6.859707167404752726e-01 8.676248310419447385e-02
1.390598987182342405e+01 6.950547670022030333e-01 8.707195946939040587e-02
1.386457261068851210e+01 7.041841402860056220e-01 8.734507146431592928e-02
1.382358644372695622e+01 7.133575357604109435e-01 8.758238068911847196e-02
