# radius mass k_2
2.739423463202436437e+01 1.342716943656439843e-01 1.410958504197191727e-03
2.652207653567347023e+01 1.363139072267074425e-01 1.605293171440494654e-03
2.570931809228254394e+01 1.384178587733693178e-01 1.821070848478705635e-03
2.495063302162498786e+01 1.405845740629245166e-01 2.060434565475247233e-03
2.424132072261884119e+01 1.428150271843733610e-01 2.324007500549075608e-03
2.357717505356764676e+01 1.451103014831567894e-01 2.614156539287984353e-03
2.295445903196657866e+01 1.474714676402605340e-01 2.931602045297801266e-03
2.236981715502795254e+01 1.498996548999800005e-01 3.278014372644983115e-03
2.182021802595205884e+01 1.523961527536623617e-01 3.654836834766864422e-03
2.130296371983120096e+01 1.549621176813280876e-01 4.063221694457554503e-03
2.081560986093830579e+01 1.575988182908621138e-01 4.504421016573971134e-03
2.035595387960405844e+01 1.603074824392476672e-01 4.979795290253376423e-03
1.992200180412242361e+01 1.630893600962422252e-01 5.490801818624406992e-03
1.951193355806533702e+01 1.659457590538552241e-01 6.037567782191963738e-03
1.912409477750582809e+01 1.688780067660576034e-01 6.622033445552281093e-03
1.875697629127494181e+01 1.718874688145565488e-01 7.244656555658423279e-03
1.840919511442614009e+01 1.749755351760493849e-01 7.906346475681528749e-03
1.807949461304060534e+01 1.781435535237290979e-01 8.608152673338594074e-03
1.776671145738440316e+01 1.813929886901334554e-01 9.349886623495073240e-03
1.746978447027750647e+01 1.847252337864578597e-01 1.013298541517039346e-02
1.718773568239060268e+01 1.881417175497040184e-01 1.095708051729637512e-02
1.691966169341039361e+01 1.916438995688493074e-01 1.182301066176335430e-02
1.666473044637222500e+01 1.952332192072568084e-01 1.273044645251234994e-02
1.642216573018266956e+01 1.989112472841711166e-01 1.367955825849300269e-02
1.619125442804585191e+01 2.026794840093735228e-01 1.467062326197782381e-02
1.597133388193840275e+01 2.065394690406885669e-01 1.570313883052335685e-02
1.576179078794208799e+01 2.104927082767231450e-01 1.677660352921182471e-02
1.556205068165280458e+01 2.145408037416351443e-01 1.789077756131807889e-02
1.537157691304335039e+01 2.186854577560400914e-01 1.904523417698998286e-02
1.518988065092762874e+01 2.229281026231108020e-01 2.023863486540908307e-02
1.501650867150841862e+01 2.272700393380113482e-01 2.147086241229504908e-02
1.485101817850114969e+01 2.317130616609608951e-01 2.274035888096891805e-02
1.469296519056318218e+01 2.362600255498677471e-01 2.404661281103825932e-02
1.454199618549516515e+01 2.409122378856791424e-01 2.538861547051131373e-02
1.439787956978147143e+01 2.456668968413651122e-01 2.676352748725911029e-02
1.426025946255598598e+01 2.505247556748332327e-01 2.816982164425194807e-02
1.412841586693721752e+01 2.555034272692364161e-01 2.961040184067265449e-02
1.400197982724301937e+01 2.606142219857030540e-01 3.108678982628517232e-02
1.388201093005851305e+01 2.658009995765076017e-01 3.258109236595814473e-02
1.377018151568657878e+01 2.709457347247835601e-01 3.405482087996122842e-02
1.366726889927707056e+01 2.759370596042463042e-01 3.547401331358934068e-02
1.357310878666411291e+01 2.806967866989717453e-01 3.681320194761653064e-02
1.348693750602544306e+01 2.851820715242398552e-01 3.805820266130933299e-02
1.340763088118073654e+01 2.893830335129654596e-01 3.920497065301521006e-02
1.333406056313862287e+01 2.933062488402017332e-01 4.025521586418107090e-02
1.326517807428788487e+01 2.969691179708082163e-01 4.121406200639930045e-02
1.320002954513679505e+01 3.003971311338922145e-01 4.208909176551593745e-02
1.313775416517256822e+01 3.036217651503751447e-01 4.288931964167818495e-02
1.307757252424650574e+01 3.066790712833364907e-01 4.362544513211167457e-02
1.301877089264013243e+01 3.096089480759174895e-01 4.430975813477498748e-02
1.296068430720718645e+01 3.124550359233063679e-01 4.495425553011647701e-02
1.290274529546593918e+01 3.152614515255537375e-01 4.557062408703874828e-02
1.284455645489179432e+01 3.180669995285068108e-01 4.617023665009400979e-02
1.278584556261706595e+01 3.209053431872208040e-01 4.676206836228313096e-02
1.272643330934210759e+01 3.238057988906118401e-01 4.735376695320729634e-02
1.266621040437033230e+01 3.267938721609134345e-01 4.795158568300547652e-02
1.260512278160887512e+01 3.298916249319457372e-01 4.856146926949444359e-02
1.254315867046468469e+01 3.331177821736043265e-01 4.918540810099130550e-02
1.248035611088687524e+01 3.364867929234514055e-01 4.982761334840168921e-02
1.241689472533062499e+01 3.400030624317361139e-01 5.048936308340607609e-02
1.235300356954234324e+01 3.436662908121385085e-01 5.116772645352170995e-02
1.228888147970110367e+01 3.474763923108553088e-01 5.186236825294233965e-02
1.222469886762059765e+01 3.514341420605031630e-01 5.257216198860766021e-02
1.216059833574611915e+01 3.555416620629932578e-01 5.329769756013321563e-02
1.209670071376235612e+01 3.598026670581742636e-01 5.403691698445397401e-02
1.203310261855895824e+01 3.642231778633990835e-01 5.479124386441122652e-02
1.196987384859739301e+01 3.688120244803234637e-01 5.556113417755061817e-02
1.190708648560280913e+01 3.735785891848793505e-01 5.634695284604181870e-02
1.184482034774598169e+01 3.785320045412264855e-01 5.714886927410902512e-02
1.178315974905613750e+01 3.836810475172089951e-01 5.796738219142660853e-02
1.172219121176198264e+01 3.890339990617738830e-01 5.880241966454633623e-02
