# radius mass k_2
1.369261508381988257e+01 2.620458930868926894e-01 3.646942011973935971e-02
1.357197049378041420e+01 2.681285235371129727e-01 3.855128848388941765e-02
1.345718574955507663e+01 2.743960935713024019e-01 4.068904807353762587e-02
1.334803898361455055e+01 2.808515771304729847e-01 4.287991810318737829e-02
1.324431441396069964e+01 2.874978682813346675e-01 4.512011886798522609e-02
1.314580306479046001e+01 2.943377565176080179e-01 4.740585118541531390e-02
1.305230216181180936e+01 3.013739159503783793e-01 4.973245438797405105e-02
1.296361558397543767e+01 3.086088819604766442e-01 5.209489950714468048e-02
1.287955297914126263e+01 3.160450575365119086e-01 5.448889428151602876e-02
1.279993092046709968e+01 3.236846515081799325e-01 5.690951989767847885e-02
1.272457114531250255e+01 3.315297044394126535e-01 5.935110002631267118e-02
1.265330099016259346e+01 3.395820654199151467e-01 6.180883497427089313e-02
1.258595479729863520e+01 3.478432944575969299e-01 6.427647647289243260e-02
1.252237081664591578e+01 3.563147479892291303e-01 6.674879476729159156e-02
1.246239340215130476e+01 3.649974633755823650e-01 6.921948768545929664e-02
1.240587204072727801e+01 3.738921589995828354e-01 7.168434540632474816e-02
1.235266040677207222e+01 3.829992170195476442e-01 7.413590807360422030e-02
1.230261723571940102e+01 3.923186430715188133e-01 7.656954711838991068e-02
1.225560521550234228e+01 4.018500263710736986e-01 7.897879914374901500e-02
1.221149133850404134e+01 4.115925054243731451e-01 8.135839733154082154e-02
1.217014643637833515e+01 4.215447339058469578e-01 8.370289221152817094e-02
1.213144480878382048e+01 4.317048591406829616e-01 8.600680719793707407e-02
1.209526427060231590e+01 4.420704522897865862e-01 8.826487161511120672e-02
1.206148561564020305e+01 4.526385037591305616e-01 9.047216015987281923e-02
1.202999295146360303e+01 4.634053376561488857e-01 9.262389057976151696e-02
1.200067221304432330e+01 4.743666788189076500e-01 9.471552494115255405e-02
1.197341379178624798e+01 4.855173772865485904e-01 9.674152809528425989e-02
1.194810754629611260e+01 4.968517862674222685e-01 9.869935902548367113e-02
1.192464786880021776e+01 5.083632684079223418e-01 1.005843624924921409e-01
1.190292992139038120e+01 5.200444929303750241e-01 1.023928123651175193e-01
1.188285098688253605e+01 5.318873536831409954e-01 1.041220761535627121e-01
1.186430894209696518e+01 5.438837550193157400e-01 1.057686558320537623e-01
1.184720332362203621e+01 5.560256386170469023e-01 1.073312142787467699e-01
1.183143630978313432e+01 5.683048248856190643e-01 1.088080370925118140e-01
1.181691292298955176e+01 5.807130897799868130e-01 1.101943873670323537e-01
1.180354151295865606e+01 5.932421742428042322e-01 1.114926185076997728e-01
1.179123371459186842e+01 6.058838917840725369e-01 1.127013043280495480e-01
1.177990475434153517e+01 6.186301695710706428e-01 1.138197772663798596e-01
1.176947358545619871e+01 6.314730999087321273e-01 1.148483313258086280e-01
1.175986284060640230e+01 6.444050463199865186e-01 1.157871758717014948e-01
1.175099873335376266e+01 6.574187472545272026e-01 1.166366664976306450e-01
1.174281127637300060e+01 6.705073748922539822e-01 1.173982174999206318e-01
1.173523415900750777e+01 6.836646527855315680e-01 1.180731950479066983e-01
1.172820463478848474e+01 6.968849695820970025e-01 1.186625902190615450e-01
1.172166350582392269e+01 7.101635145818997463e-01 1.191683319877080566e-01
1.171555484821668003e+01 7.234963855540820221e-01 1.195918518302942352e-01
1.170982627984394853e+01 7.368808045905743676e-01 1.199358744578491731e-01
1.170442816700890631e+01 7.503151822894011946e-01 1.202018484854483760e-01
1.169931399594830168e+01 7.637993887705367690e-01 1.203918396563589260e-01
1.169443991853091092e+01 7.773349097491087933e-01 1.205077628351058777e-01
1.168976451087211288e+01 7.909250492740375060e-01 1.205511028054046391e-01
1.168524857706701070e+01 8.045752327507404988e-01 1.205253625883597468e-01
1.168085486550971197e+01 8.182931590567491531e-01 1.204309504086219507e-01
1.167654760449520879e+01 8.320891661767446656e-01 1.202697796042734163e-01
1.167229253268475553e+01 8.459765226046516151e-01 1.200430226177074261e-01
