# radius mass k_2
1.219624502739236860e+01 1.573830479160114537e+00 7.377852126202885663e-02
1.219193869136318575e+01 1.599323447371880480e+00 7.214247359931175163e-02
1.218700162395651176e+01 1.624684510004932969e+00 7.050161495591400485e-02
1.218141380163660337e+01 1.649895483899410209e+00 6.886165426163914915e-02
1.217515514819764277e+01 1.674931994638881871e+00 6.722413726385959021e-02
1.216820103906096051e+01 1.699766365265286572e+00 6.559253053533965760e-02
1.216053020828972286e+01 1.724378808332153179e+00 6.396844973815449253e-02
1.215212785387386951e+01 1.748752184696637180e+00 6.235463053732324956e-02
1.214297880275703356e+01 1.772864597694965072e+00 6.075326288383124662e-02
1.213306817624613743e+01 1.796696180014404121e+00 5.916576864287009796e-02
1.212238540921354790e+01 1.820230541106552247e+00 5.759402473561675562e-02
1.211092174685729006e+01 1.843448637344407892e+00 5.603966589335945131e-02
1.209866787066136773e+01 1.866329610844836173e+00 5.450485670332632510e-02
1.208561526944654041e+01 1.888856448735452664e+00 5.299233716027814539e-02
1.207175994672633657e+01 1.911018229917117894e+00 5.150309579387897518e-02
1.205710247256446799e+01 1.932799468296485745e+00 5.003792167199832414e-02
1.204164005940571869e+01 1.954177123996199805e+00 4.859921785249571302e-02
1.202536817838752548e+01 1.975133442751377366e+00 4.718771729156294448e-02
1.200828599402265695e+01 1.995654708573290970e+00 4.580328326251604382e-02
1.199039436630509847e+01 2.015725835978991576e+00 4.444963365694275942e-02
1.197169461246939015e+01 2.035332794708468729e+00 4.312475496273898007e-02
1.195218934600509897e+01 2.054465760675290298e+00 4.182970446087946187e-02
1.193188510004324421e+01 2.073116404939982615e+00 4.056553973532375790e-02
1.191078986130253448e+01 2.091274206038104211e+00 3.933249835529137317e-02
1.188891290712809123e+01 2.108928029068679599e+00 3.813080691960223784e-02
1.186626343857306587e+01 2.126063120721614741e+00 3.696118683341149264e-02
1.184284588046260289e+01 2.142670676293902510e+00 3.582319654583627361e-02
1.181866949303023695e+01 2.158750759712566580e+00 3.471594446442846649e-02
1.179374981779649190e+01 2.174297302332547144e+00 3.363961168944085145e-02
1.176810084992862393e+01 2.189302322790525501e+00 3.259375288992946013e-02
1.174173602318127685e+01 2.203759435934400823e+00 3.157891417928199163e-02
