# radius mass k_2
nan nan nan
9.667602035058941112e+00 3.971172120666829331e-247 0.000000000000000000e+00
9.667602035058941112e+00 1.320620417389525158e-245 0.000000000000000000e+00
9.667602035058944665e+00 4.391746904521560886e-244 0.000000000000000000e+00
9.667602035058942889e+00 1.460483316735440730e-242 0.000000000000000000e+00
9.667602035058942889e+00 4.856863486979069857e-241 0.000000000000000000e+00
9.667602035058944665e+00 1.615158671163619514e-239 0.000000000000000000e+00
9.667602035058942889e+00 5.371239154711788639e-238 0.000000000000000000e+00
9.667602035058946441e+00 1.786215222825282187e-236 0.000000000000000000e+00
9.667602035058944665e+00 5.940090787903063327e-235 0.000000000000000000e+00
9.667602035058941112e+00 1.975387854590269414e-233 0.000000000000000000e+00
9.667602035058944665e+00 6.569187770680533960e-232 0.000000000000000000e+00
9.667602035058942889e+00 2.184595185506476538e-230 0.000000000000000000e+00
9.667602035058942889e+00 7.264910505129287044e-229 0.000000000000000000e+00
9.667602035058942889e+00 2.415959029741165401e-227 0.000000000000000000e+00
9.667602035058944665e+00 8.034315122349884185e-226 0.000000000000000000e+00
9.667602035058941112e+00 2.671825916358345661e-224 0.000000000000000000e+00
9.667602035058941112e+00 8.885205046868686100e-223 0.000000000000000000e+00
9.667602035058942889e+00 2.954790888191698670e-221 0.000000000000000000e+00
9.667602035058942889e+00 9.826210140212977504e-220 0.000000000000000000e+00
9.667602035058946441e+00 3.267723821184120639e-218 0.000000000000000000e+00
9.667602035058946441e+00 1.086687422634614381e-216 0.000000000000000000e+00
9.667602035058942889e+00 3.613798531126842477e-215 0.000000000000000000e+00
9.667602035058944665e+00 1.201775188665711249e-213 0.000000000000000000e+00
9.667602035058944665e+00 3.996524963006609246e-212 0.000000000000000000e+00
9.667602035058946441e+00 1.329051550620663594e-210 0.000000000000000000e+00
9.667602035058942889e+00 4.419784789429204144e-209 0.000000000000000000e+00
9.667602035058942889e+00 1.469807365692264265e-207 0.000000000000000000e+00
9.667602035058942889e+00 4.887870779161566521e-206 0.000000000000000000e+00
9.667602035058939336e+00 1.625470201840182818e-204 0.000000000000000000e+00
9.667602035058942889e+00 5.405530335078908430e-203 0.000000000000000000e+00
9.667602035058942889e+00 1.797618816412675962e-201 0.000000000000000000e+00
9.667602035058942889e+00 5.978013643084158175e-200 0.000000000000000000e+00
9.667602035058944665e+00 1.987999168156032321e-198 0.000000000000000000e+00
9.667602035058942889e+00 6.611126920329939807e-197 0.000000000000000000e+00
9.667602035058944665e+00 2.198542125007468651e-195 0.000000000000000000e+00
9.667602035058942889e+00 7.311291302801250561e-194 0.000000000000000000e+00
9.667602035058942889e+00 2.431383047265428650e-192 0.000000000000000000e+00
9.667602035058942889e+00 8.085607969503767192e-191 0.000000000000000000e+00
9.667602035058946441e+00 2.688883444755128380e-189 0.000000000000000000e+00
9.667602035058942889e+00 8.941930163752912209e-188 0.000000000000000000e+00
9.667602035058942889e+00 2.973654927638958688e-186 0.000000000000000000e+00
9.667602035058942889e+00 9.888942842023079217e-185 0.000000000000000000e+00
9.667602035058944665e+00 3.288585693782927824e-183 0.000000000000000000e+00
9.667602035058942889e+00 1.093625075816550132e-181 0.000000000000000000e+00
9.667602035058946441e+00 3.636869821321140123e-180 0.000000000000000000e+00
