# radius mass k_2
1.190455033201139479e+01 4.914506710050443594e-01 8.143794648257078606e-02
1.186993984386687373e+01 5.039659917288727975e-01 8.312957523681610561e-02
1.183777003283426055e+01 5.169191382375252219e-01 8.478998520191212418e-02
1.180805477378005364e+01 5.303076595435416429e-01 8.641176677594020195e-02
1.178078278627767261e+01 5.441293956447116331e-01 8.798998825262342727e-02
1.175592368159474965e+01 5.583815196454386953e-01 8.951920546098840470e-02
1.173342995056794358e+01 5.730602168824127096e-01 9.099328590251162807e-02
1.171324108159933886e+01 5.881601286004238816e-01 9.240524144714779009e-02
1.169528520704750818e+01 6.036748473522094427e-01 9.375158224448719435e-02
1.167947818628383416e+01 6.195972164385871173e-01 9.502574283248550746e-02
1.166572958620439238e+01 6.359195099892359648e-01 9.622431797505004436e-02
1.165394171569520587e+01 6.526330985575923282e-01 9.734240073577442309e-02
1.164401189602087427e+01 6.697287712103922042e-01 9.837719863614775850e-02
1.163583354465061781e+01 6.871963152909417172e-01 9.932249337639517672e-02
1.162929806715739645e+01 7.050248510093660714e-01 1.001785021200875953e-01
1.162429426110129782e+01 7.232028815125082222e-01 1.009415399633702970e-01
1.162071097610214565e+01 7.417178677208858817e-01 1.016091571724823811e-01
1.161843599233361246e+01 7.605565424345961389e-01 1.021803955575110723e-01
1.161735731186601939e+01 7.797044130006608453e-01 1.026539810720109719e-01
1.161736405044308107e+01 7.991461125542823618e-01 1.030298303727648634e-01
1.161834497947767986e+01 8.188654097530720932e-01 1.033071482943675873e-01
1.162019142676465400e+01 8.388458490029961911e-01 1.034856562910955596e-01
1.162279712463404913e+01 8.590709596745125243e-01 1.035676707948075120e-01
1.162605901219177440e+01 8.795240421971447509e-01 1.035534910582381618e-01
1.162987705498434288e+01 9.001881751213268723e-01 1.034449052372209826e-01
1.163415493389122801e+01 9.210461733826373898e-01 1.032434373574646902e-01
1.163879985859833610e+01 9.420807528392250996e-01 1.029517758613850142e-01
1.164372283184768975e+01 9.632744982225368569e-01 1.025713700885789448e-01
1.164883870055209591e+01 9.846098847678000920e-01 1.021063431578772274e-01
1.165406640565050012e+01 1.006069511015621920e+00 1.015590757794679611e-01
1.165932886097961685e+01 1.027636032746875427e+00 1.009326477840223613e-01
1.166455327272908171e+01 1.049292403012606512e+00 1.002309383267026427e-01
1.166967089118939782e+01 1.071021692596202390e+00 9.945678202418331559e-02
1.167461696871232846e+01 1.092807124956512776e+00 9.861436130945504253e-02
1.167933078869791608e+01 1.114632260156892318e+00 9.770783429721516256e-02
1.168375556371312207e+01 1.136480967324056568e+00 9.673937455560965848e-02
1.168783854021872770e+01 1.158337432940734102e+00 9.571429724043614695e-02
1.169153027096283104e+01 1.180186221284437842e+00 9.463512614936597789e-02
1.169478574085573719e+01 1.202012334754897438e+00 9.350754865236193814e-02
1.169756275129058842e+01 1.223801173811022380e+00 9.233203852103369358e-02
1.169982311898258942e+01 1.245538560671161754e+00 9.111586428800262649e-02
1.170153207766659342e+01 1.267210912180005700e+00 8.986084534970539828e-02
1.170265705889784336e+01 1.288804620927255895e+00 8.857135583126249379e-02
1.170316922577329777e+01 1.310306567042482273e+00 8.724964550576107258e-02
1.170304230114523492e+01 1.331704270675863278e+00 8.590004913589686930e-02
1.170225276894239741e+01 1.352985432717678682e+00 8.452586402654120590e-02
1.170077956314910317e+01 1.374137998521024917e+00 8.312968845254106731e-02
1.169860401218751633e+01 1.395150145844863854e+00 8.171593395687599959e-02
1.169570921392456953e+01 1.416010257259795013e+00 8.028601104343825734e-02
1.169208065029295973e+01 1.436706930310946984e+00 7.884343776076987997e-02
1.168770525464077181e+01 1.457228695878303837e+00 7.739108392652888080e-02
1.168257168280556613e+01 1.477564055469867910e+00 7.593163144294515221e-02
1.167666985503474741e+01 1.497701396261142515e+00 7.446729130360123239e-02
1.166999105961656191e+01 1.517628977545599334e+00 7.300103390582485252e-02
1.166252750195958576e+01 1.537334533785138957e+00 7.153444197210055699e-02
1.165427217429365747e+01 1.556805703717625278e+00 7.007058654305070577e-02
1.164521909906479991e+01 1.576029308873770463e+00 6.861082026961841385e-02
1.163536231667791121e+01 1.594991757574113711e+00 6.715769433387765164e-02
1.162469671393323800e+01 1.613678858375511949e+00 6.571294812840107469e-02
1.161321730375579619e+01 1.632075248675312285e+00 6.427875843630993791e-02
1.160091901284633842e+01 1.650164908592003155e+00 6.285656063034865404e-02
1.158779704554598844e+01 1.667930799929690844e+00 6.144810053099738351e-02
1.157384636616520446e+01 1.685354730033461701e+00 6.005560050150136886e-02
