# radius mass k_2
1.246327151757449414e+01 6.778215114193840707e-01 1.084611585067219580e-01
1.245824874060554777e+01 6.925185186016615813e-01 1.093513983352290692e-01
1.245415509370576324e+01 7.074344759047340725e-01 1.101650485586320172e-01
1.245093327385982107e+01 7.225694141914804636e-01 1.109023974398494761e-01
1.244852860855451482e+01 7.379239759690221501e-01 1.115624453280387313e-01
1.244688913267709118e+01 7.534995422702198686e-01 1.121468586759691299e-01
1.244596571965848142e+01 7.692983056800244412e-01 1.126549073103610688e-01
1.244571192745367405e+01 7.853214190208018808e-01 1.130873999832309323e-01
1.244608357565431156e+01 8.015663108881366794e-01 1.134456629839060426e-01
1.244703806369491161e+01 8.180298890897691466e-01 1.137288730526666708e-01
1.244853434126889269e+01 8.347090648799090351e-01 1.139387980488140717e-01
1.245053279221165532e+01 8.516008102816832182e-01 1.140738367678779119e-01
1.245299535258828705e+01 8.687022067376715118e-01 1.141436309019771278e-01
1.245588531074066374e+01 8.860105093131555032e-01 1.141418475644330327e-01
1.245916744152654232e+01 9.035232277614566598e-01 1.140724591141933086e-01
1.246280776832362491e+01 9.212381969851908270e-01 1.139377537793720696e-01
1.246677404400779388e+01 9.391536617377299612e-01 1.137398280571877696e-01
1.247103482670829777e+01 9.572684155349556745e-01 1.134749778184933056e-01
1.247556032999455056e+01 9.755818416774642010e-01 1.131455866012071459e-01
1.248032191487564724e+01 9.940941002253230740e-01 1.127524372586429652e-01
1.248529216783111195e+01 1.012806178650924593e+00 1.122973052821578943e-01
1.249044390664895232e+01 1.031716808469888669e+00 1.117798919232596971e-01
1.249574935107471063e+01 1.050819728012670540e+00 1.112047239919445873e-01
1.250118127227426967e+01 1.070108167864939563e+00 1.105723144790627527e-01
1.250671311300573763e+01 1.089575411444946962e+00 1.098852496532968515e-01
1.251231943899789911e+01 1.109214757483519387e+00 1.091437291267328968e-01
1.251797512044734795e+01 1.129019792720429738e+00 1.083513291765775682e-01
1.252365615715800296e+01 1.148984270943366859e+00 1.075093363340723640e-01
1.252933933784186671e+01 1.169102283669173348e+00 1.066200063873150861e-01
1.253500216749976737e+01 1.189368378136179460e+00 1.056859741200185387e-01
1.254062304992966048e+01 1.209777570018007120e+00 1.047085679680982429e-01
1.254618107451830866e+01 1.230325544173185737e+00 1.036893934189144773e-01
1.255165608038949543e+01 1.251008728638457912e+00 1.026302711375364496e-01
1.255702842988706358e+01 1.271824102314730531e+00 1.015343271354814808e-01
1.256227790518234322e+01 1.292764551326097466e+00 1.004006838648426186e-01
1.256738373651714191e+01 1.313819384833828208e+00 9.923364296327789880e-02
1.257232563575177053e+01 1.334977756393447290e+00 9.803386554050418089e-02
1.257708387436034236e+01 1.356228840191780360e+00 9.680317323136787555e-02
1.258163895321690440e+01 1.377561870820571466e+00 9.554299449027334190e-02
1.258597192132585008e+01 1.398966252052553649e+00 9.425440474977818395e-02
1.259006408977892022e+01 1.420431613119094161e+00 9.293850499374099738e-02
1.259389722360091035e+01 1.441947919215778695e+00 9.159544847234957210e-02
1.259745304149115519e+01 1.463505503961589627e+00 9.022511829897431057e-02
1.260071351799122574e+01 1.485095240569032304e+00 8.882712260396871673e-02
1.260366104752233696e+01 1.506708646637632043e+00 8.741310855380717004e-02
1.260627702525582450e+01 1.528336479629875955e+00 8.599055118353929328e-02
1.260854273441446161e+01 1.549964545038819530e+00 8.456384608672040670e-02
1.261043975761645086e+01 1.571577584741725486e+00 8.313711521633486423e-02
1.261195029223601516e+01 1.593160725335775352e+00 8.171269013487182653e-02
1.261305735716912757e+01 1.614699601210790592e+00 8.028744368311313551e-02
1.261374392331269867e+01 1.636180373045703407e+00 7.885781824832427400e-02
1.261399423310803058e+01 1.657589885280269737e+00 7.742686507163407117e-02
1.261379374892369576e+01 1.678915839738159388e+00 7.599638378767772928e-02
1.261312750511068614e+01 1.700146673532342279e+00 7.456699298428742795e-02
1.261198131006613998e+01 1.721271967932078484e+00 7.314176252844882542e-02
1.261034141894083405e+01 1.742281738387370327e+00 7.172059763557657452e-02
1.260819497645358211e+01 1.763162878625663454e+00 7.030466701614815350e-02
1.260553013555344393e+01 1.783900763181213378e+00 6.889659489152503979e-02
1.260233600848456703e+01 1.804481581826121506e+00 6.749662542669002119e-02
1.259860262217207705e+01 1.824892455283226855e+00 6.610627686709634465e-02
1.259432093705848210e+01 1.845121540506068358e+00 6.472695356127007582e-02
1.258948286902852587e+01 1.865158079862862639e+00 6.335911182643730322e-02
1.258408117313269159e+01 1.884992514355617432e+00 6.200416623852694070e-02
1.257810870027312156e+01 1.904616558533376525e+00 6.066205355593858733e-02
1.257155884469937668e+01 1.924023057870769549e+00 5.933388259884798260e-02
1.256442714493206836e+01 1.943202334664883235e+00 5.801997427711395178e-02
1.255671025876455538e+01 1.962142646121763478e+00 5.672183185170084213e-02
1.254840586243825662e+01 1.980832862603861599e+00 5.544092861241291942e-02
1.253951197047446797e+01 1.999262590042831578e+00 5.417783516634767232e-02
1.253002672876120727e+01 2.017422248706326471e+00 5.293369450375774027e-02
1.251994867941197676e+01 2.035303109704442726e+00 5.170764048294732018e-02
1.250927564754704413e+01 2.052897382851019525e+00 5.050169449585380221e-02
1.249800518038450292e+01 2.070198177127912320e+00 4.931557452667220676e-02
1.248613586760725269e+01 2.087197348798976115e+00 4.814957321855562605e-02
1.247366833288744559e+01 2.103884282698280650e+00 4.700441579145620691e-02
1.246060364290063660e+01 2.120249120494695827e+00 4.588030974543719220e-02
1.244694331288579647e+01 2.136283077275128672e+00 4.477780800316337462e-02
1.243268890858564468e+01 2.151978616304602188e+00 4.369695080573403334e-02
1.241784155697239278e+01 2.167329265059942944e+00 4.263806172796122396e-02
1.240240245618143078e+01 2.182329892791337933e+00 4.160127192445837313e-02
1.238637268467173946e+01 2.196975866225630902e+00 4.058654272555494574e-02
1.236975646674365592e+01 2.211260425760398274e+00 3.959403721271415738e-02
1.235255947160616685e+01 2.225177049241605420e+00 3.862412556926537316e-02
1.233478688441260296e+01 2.238720261745782647e+00 3.767626884855086039e-02
1.231644452450693450e+01 2.251885666943375330e+00 3.675032797265479628e-02
1.229753689322992294e+01 2.264670006216036313e+00 3.584603107218960888e-02
1.227806805826059033e+01 2.277071118317581799e+00 3.496354200534223383e-02
1.225804317889458517e+01 2.289086685865346471e+00 3.410156507182542790e-02
1.223747071192826397e+01 2.300712839363150852e+00 3.326105970212555468e-02
1.221635973335885517e+01 2.311946653181822686e+00 3.244152614281739511e-02
1.219471848222394428e+01 2.322786227876977527e+00 3.164275052440957553e-02
1.217255490471479007e+01 2.333230775571798699e+00 3.086437624065040825e-02
1.214987546402692331e+01 2.343280615728270178e+00 3.010600985591448814e-02
1.212668733146466771e+01 2.352936171848575508e+00 2.936748124397794979e-02
1.210300188786034603e+01 2.362196720990777266e+00 2.864839142614707471e-02
1.207883088009041828e+01 2.371062246560836417e+00 2.794860828382424167e-02
1.205418518735769773e+01 2.379533635454858409e+00 2.726758747529063956e-02
1.202907354175548171e+01 2.387612824016150714e+00 2.660488715023710815e-02
1.200350481633166311e+01 2.395302408148232587e+00 2.596021404679160413e-02
1.197748986408084448e+01 2.402604447463238202e+00 2.533308681799347276e-02
1.195104296364069718e+01 2.409520457713520969e+00 2.472332690683985701e-02
1.192417758034274655e+01 2.416052535496794995e+00 2.413058288043818875e-02
1.189690548210260523e+01 2.422203416138959842e+00 2.355451714364249424e-02
1.186923645271749983e+01 2.427976271179243639e+00 2.299546431692440704e-02
1.184118159130416004e+01 2.433373970868349279e+00 2.245256549071823760e-02
1.181275641055929704e+01 2.438398938765999446e+00 2.192499686758763236e-02
1.178397430121975553e+01 2.443053996793370430e+00 2.141322895659865388e-02
1.175484751948940421e+01 2.447342619667977281e+00 2.091668131093980462e-02
1.172538551986268729e+01 2.451268906528615954e+00 2.043496246762540117e-02
1.169560129008636196e+01 2.454836478436730474e+00 1.996658847617947125e-02
1.166551047533697449e+01 2.458048980047565113e+00 1.951454612255939733e-02
1.163512715559578758e+01 2.460910400918749019e+00 1.907539728872388596e-02
1.160446302977877586e+01 2.463425054085376154e+00 1.864973783367270335e-02
1.157352952856050621e+01 2.465597291627027232e+00 1.823735111375243689e-02
1.154234280528266332e+01 2.467431059466962395e+00 1.783727746905085232e-02
1.151091842812786226e+01 2.468930248872054811e+00 1.745112354681054023e-02
1.147926959658825297e+01 2.470098663127386462e+00 1.707687720004835361e-02
1.144740835021090852e+01 2.470939774473148720e+00 1.671467659554948249e-02
1.141535269421117249e+01 2.471456940627205334e+00 1.636447928860744125e-02
1.138312019437560885e+01 2.471653705773366294e+00 1.602610985635870983e-02
1.135072662642381225e+01 2.471534334844022407e+00 1.569897239856291385e-02
1.131818300922122589e+01 2.471103410929421429e+00 1.538303184758198043e-02
1.128549107955842246e+01 2.470365524921041889e+00 1.507769209033674000e-02
1.125264842703490586e+01 2.469325213457491675e+00 1.478269132400048327e-02
1.121965012721904209e+01 2.467986499433300729e+00 1.449746335489109084e-02
1.118654348247454422e+01 2.466355999039653746e+00 1.422224112753131195e-02
1.115341413137214310e+01 2.464444054989080701e+00 1.395719262403304767e-02
1.112035177231434702e+01 2.462263638505885588e+00 1.370262486962070363e-02
1.108727120189008275e+01 2.459816729578653050e+00 1.345737886329581752e-02
