# radius mass k_2
1.471513402945469906e+01 5.397689632177419261e-01 1.101275988318042298e-01
1.469598406083393627e+01 5.543430363606115518e-01 1.124360549675275656e-01
1.467830852135579534e+01 5.692257579488140262e-01 1.146223921885913960e-01
1.466205795482261109e+01 5.844408282856445869e-01 1.166902336159634096e-01
1.464720526748979168e+01 6.000110315490259083e-01 1.186381143719911213e-01
1.463374048864652721e+01 6.159580672660289746e-01 1.204681233101517479e-01
1.462166590647112052e+01 6.323023938091514307e-01 1.221841528827551926e-01
1.461099195648543692e+01 6.490630277395281755e-01 1.237952716456714730e-01
1.460173316900603702e+01 6.662572981205364675e-01 1.253036141713996243e-01
1.459390489721991813e+01 6.839006653715566930e-01 1.267082744575997455e-01
1.458752014197206570e+01 7.020063949884985943e-01 1.280091382681280143e-01
1.458258568469264915e+01 7.205853393470039725e-01 1.292092721079399487e-01
1.457910026993116226e+01 7.396456953502819065e-01 1.303026724055726393e-01
1.457705113753410231e+01 7.591926221575271416e-01 1.312894299324584568e-01
1.457641144759098140e+01 7.792279996028262934e-01 1.321672475962842597e-01
1.457713844811823023e+01 7.997500725719218773e-01 1.329329172831671402e-01
1.457916945698922184e+01 8.207521118613626543e-01 1.335839401770376744e-01
1.458242187201975781e+01 8.422150812295345901e-01 1.341168768637459596e-01
1.458679760240283763e+01 8.641148457361472746e-01 1.345291940961991783e-01
1.459218937320620846e+01 8.864276980315368704e-01 1.348184724130628565e-01
1.459848496271124318e+01 9.091308029588937023e-01 1.349838077357029542e-01
1.460557046393548219e+01 9.322026462009926906e-01 1.350262985119987658e-01
1.461333308920900009e+01 9.556234565661567704e-01 1.349443984686753695e-01
1.462166335050145705e+01 9.793757140361425417e-01 1.347445961790251778e-01
1.463045692123498576e+01 1.003444659464548305e+00 1.344252204811933471e-01
1.463961624458923438e+01 1.027818844331090498e+00 1.339921183428507412e-01
1.464905183398904143e+01 1.052490740007200776e+00 1.334497298276411947e-01
1.465868327942946081e+01 1.077457405723593720e+00 1.328018727710888469e-01
1.466844016883954360e+01 1.102721222539172263e+00 1.320543925589203471e-01
